QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	0.308712121212
VTO_0002654	2	VTO_0002654	0.376590330789
VTO_0002654	3	VTO_0080000	0.327380952381
VTO_0002654	4	VTO_0041917	0.386266094421
VTO_0002654	5	VTO_9012092	0.142857142857
VTO_0002654	6	VTO_0004518	0.228438228438
VTO_0002654	7	VTO_0007235	0.273542600897
VTO_0002654	8	VTO_0038105	0.116607773852
VTO_0002654	9	VTO_0002655	0.0641711229947
VTO_0002654	10	VTO_0059196	0.0641025641026
VTO_0002654	11	VTO_0059196	0.0176470588235
VTO_0002654	12	VTO_0059196	0.0322580645161
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	0.536159600998
VTO_0047199	2	VTO_9006276	0.376644736842
VTO_0047199	3	VTO_0035030	0.390532544379
VTO_0047199	4	VTO_0003945	0.416403785489
VTO_0047199	5	VTO_0062285	0.259776536313
VTO_0047199	6	VTO_0011621	0.430107526882
VTO_0047199	7	VTO_0039240	0.355263157895
VTO_0047199	8	VTO_9022808	0.2
VTO_0047199	9	VTO_0062285	0.171314741036
VTO_0047199	10	VTO_0062285	0.198156682028
VTO_0047199	11	VTO_0062285	0.168724279835
VTO_0047199	12	VTO_0062285	0.16015625
VTO_0047199	13	VTO_0062285	0.164658634538
VTO_0047199	14	VTO_0062285	0.165991902834
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	0.429447852761
VTO_9001676	2	VTO_9012325	0.313014827018
VTO_9001676	3	VTO_0083112	0.362385321101
VTO_9001676	4	VTO_9005032	0.284482758621
VTO_9001676	5	VTO_9022400	0.324503311258
VTO_9001676	6	VTO_9030507	0.268698060942
VTO_9001676	7	VTO_0004665	0.357142857143
VTO_9001676	8	VTO_0034915	0.20198019802
VTO_9001676	9	VTO_0004665	0.308851224105
VTO_9001676	10	VTO_0004665	0.322448979592
VTO_9001676	11	VTO_0004665	0.344017094017
VTO_9001676	12	VTO_0004665	0.342494714588
VTO_9001676	13	VTO_0004665	0.342672413793
VTO_9001676	14	VTO_0004665	0.297951582868
VTO_9001676	15	VTO_0004665	0.325252525253
VTO_9001676	16	VTO_0004665	0.322448979592
VTO_9001676	17	VTO_0004665	0.322381930185
VTO_9001676	18	VTO_0004665	0.323711340206
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	0.63202247191
VTO_9003361	2	VTO_0041469	0.342857142857
VTO_9003361	3	VTO_0004665	0.350282485876
VTO_9003361	4	VTO_0011805	0.324626865672
VTO_9003361	5	VTO_9010160	0.431726907631
VTO_9003361	6	VTO_0036979	0.366047745358
VTO_9003361	7	VTO_0002634	0.277202072539
VTO_9003361	8	VTO_9021172	0.323369565217
VTO_9003361	9	VTO_0004665	0.471604938272
VTO_9003361	10	VTO_0004665	0.46875
VTO_9003361	11	VTO_0004665	0.434052757794
VTO_9003361	12	VTO_0004665	0.434272300469
VTO_9003361	13	VTO_0004665	0.433014354067
VTO_9003361	14	VTO_0004665	0.433014354067
VTO_9003361	15	VTO_0004665	0.438256658596
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	0.425427872861
VTO_0011622	2	VTO_0002499	0.396501457726
VTO_0011622	3	VTO_0057204	0.298850574713
VTO_0011622	4	VTO_9010146	0.3
VTO_0011622	5	VTO_0062285	0.214285714286
VTO_0011622	6	VTO_0038105	0.213389121339
VTO_0011622	7	VTO_9020172	0.182336182336
VTO_0011622	8	VTO_0035719	0.341013824885
VTO_0011622	9	VTO_0060503	0.113924050633
VTO_0011622	10	VTO_0038538	0.06875
VTO_0011622	11	VTO_0059196	0.0643274853801
VTO_0011622	12	VTO_0059196	0.0564971751412
VTO_0011622	13	VTO_0059196	0.0172413793103
VTO_0011622	14	VTO_0059208	0.00704225352113
