QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_9011844	0.111111111111
VTO_0002654	1	VTO_0053270	0.111111111111
VTO_0002654	2	VTO_0059196	0.0954545454546
VTO_0002654	3	VTO_9022875	0.1
VTO_0002654	4	VTO_0037714	0.0
VTO_0002654	5	VTO_0037714	0.0
VTO_0002654	6	VTO_0037714	0.0
VTO_0002654	7	VTO_0037714	0.0
VTO_0002654	8	VTO_0037714	0.0
VTO_0002654	9	VTO_0037714	0.0
VTO_0002654	10	VTO_0037714	0.0
VTO_0002654	11	VTO_0037714	0.0
VTO_0002654	12	VTO_0037714	0.0
VTO_0047199	0	VTO_0059196	0.1125
VTO_0047199	1	VTO_0053270	0.111111111111
VTO_0047199	2	VTO_0059196	0.1
VTO_0047199	3	VTO_0038052	0.105555555556
VTO_0047199	4	VTO_0059196	0.0916666666666
VTO_0047199	5	VTO_9022875	0.1
VTO_0047199	6	VTO_0034612	0.0833333333333
VTO_0047199	7	VTO_0037714	0.0
VTO_0047199	8	VTO_0037714	0.0
VTO_0047199	9	VTO_0080344	0.0871212121212
VTO_0047199	10	VTO_0037714	0.0
VTO_0047199	11	VTO_0037714	0.0
VTO_0047199	12	VTO_0037714	0.0
VTO_0047199	13	VTO_0037714	0.0
VTO_0047199	14	VTO_0037714	0.0
VTO_9001676	0	VTO_9011844	0.117647058824
VTO_9001676	1	VTO_0057041	0.122767857143
VTO_9001676	2	VTO_0039240	0.1
VTO_9001676	3	VTO_0038052	0.111111111111
VTO_9001676	4	VTO_9022875	0.0954545454546
VTO_9001676	5	VTO_0059196	0.1
VTO_9001676	6	VTO_0059196	0.0871212121212
VTO_9001676	7	VTO_0059196	0.0801282051282
VTO_9001676	8	VTO_0039240	0.0833333333333
VTO_9001676	9	VTO_0059196	0.0909090909091
VTO_9001676	10	VTO_0033624	0.0909090909091
VTO_9001676	11	VTO_0059196	0.121428571428
VTO_9001676	12	VTO_0080344	0.0909090909091
VTO_9001676	13	VTO_0059196	0.0357142857143
VTO_9001676	14	VTO_0059196	0.0357142857143
VTO_9001676	15	VTO_0080344	0.03125
VTO_9001676	16	VTO_0080344	0.03125
VTO_9001676	17	VTO_0037714	0.0
VTO_9001676	18	VTO_0037714	0.0
VTO_9003361	0	VTO_0083133	0.1
VTO_9003361	1	VTO_0034164	0.105555555556
VTO_9003361	2	VTO_0059196	0.0909090909091
VTO_9003361	3	VTO_0080344	0.105555555556
VTO_9003361	4	VTO_0083133	0.111111111111
VTO_9003361	5	VTO_0059196	0.125
VTO_9003361	6	VTO_0059196	0.0909090909091
VTO_9003361	7	VTO_0059196	0.0801282051282
VTO_9003361	8	VTO_0080344	0.0277777777778
VTO_9003361	9	VTO_0037714	0.0
VTO_9003361	10	VTO_0037714	0.0
VTO_9003361	11	VTO_0037714	0.0
VTO_9003361	12	VTO_0037714	0.0
VTO_9003361	13	VTO_0037714	0.0
VTO_9003361	14	VTO_0037714	0.0
VTO_9003361	15	VTO_0037714	0.0
VTO_0011622	0	VTO_0059196	0.125
VTO_0011622	1	VTO_0053588	0.111111111111
VTO_0011622	2	VTO_0080344	0.0972222222221
VTO_0011622	3	VTO_0080344	0.0954545454546
VTO_0011622	4	VTO_0059196	0.0909090909091
VTO_0011622	5	VTO_9022808	0.0357142857143
VTO_0011622	6	VTO_0037714	0.0
VTO_0011622	7	VTO_0037714	0.0
VTO_0011622	8	VTO_0037714	0.0
VTO_0011622	9	VTO_0037714	0.0
VTO_0011622	10	VTO_0037714	0.0
VTO_0011622	11	VTO_0037714	0.0
VTO_0011622	12	VTO_0037714	0.0
VTO_0011622	13	VTO_0037714	0.0
VTO_0011622	14	VTO_0037714	0.0
