QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0034991	0.228835978836
VTO_0002654	2	VTO_0036523	0.204761904762
VTO_0002654	3	VTO_0001466	0.210059171598
VTO_0002654	4	VTO_0053588	0.133333333333
VTO_0002654	5	VTO_0047292	0.104166666667
VTO_0002654	6	VTO_9016999	0.108333333333
VTO_0002654	7	VTO_9014226	0.106060606061
VTO_0002654	8	VTO_9020294	0.166666666667
VTO_0002654	9	VTO_0047292	0.119155844156
VTO_0002654	10	VTO_0047292	0.0869279529994
VTO_0002654	11	VTO_0036818	0.0435606060606
VTO_0002654	12	VTO_0047292	0.0862760255617
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	0.262387387388
VTO_0047199	2	VTO_0037868	0.1875
VTO_0047199	3	VTO_0037519	0.217261904762
VTO_0047199	4	VTO_0053586	0.314728682171
VTO_0047199	5	VTO_0034991	0.196428571429
VTO_0047199	6	VTO_9004225	0.196428571429
VTO_0047199	7	VTO_0057041	0.177777777778
VTO_0047199	8	VTO_9020294	0.166666666667
VTO_0047199	9	VTO_0002655	0.174107142857
VTO_0047199	10	VTO_0001466	0.128787878788
VTO_0047199	11	VTO_0001466	0.133333333334
VTO_0047199	12	VTO_0047292	0.119387755102
VTO_0047199	13	VTO_0047292	0.119387755102
VTO_0047199	14	VTO_0047292	0.119387755102
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_0035614	0.25
VTO_9001676	2	VTO_9032487	0.216666666667
VTO_9001676	3	VTO_0035614	0.238095238095
VTO_9001676	4	VTO_0034991	0.204761904762
VTO_9001676	5	VTO_0034991	0.180555555556
VTO_9001676	6	VTO_0052581	0.166666666667
VTO_9001676	7	VTO_0035614	0.136805555556
VTO_9001676	8	VTO_9022805	0.147222222222
VTO_9001676	9	VTO_0059196	0.144444444444
VTO_9001676	10	VTO_9020294	0.220643939394
VTO_9001676	11	VTO_0059196	0.217261904762
VTO_9001676	12	VTO_0033624	0.160714285714
VTO_9001676	13	VTO_0039240	0.127380952381
VTO_9001676	14	VTO_0039240	0.106547619048
VTO_9001676	15	VTO_0039240	0.106547619048
VTO_9001676	16	VTO_0033624	0.119230769231
VTO_9001676	17	VTO_0059208	0.104482323232
VTO_9001676	18	VTO_0059208	0.104482323232
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_0034991	0.241512345679
VTO_9003361	2	VTO_0035614	0.1875
VTO_9003361	3	VTO_0036816	0.196428571429
VTO_9003361	4	VTO_0038105	0.202380952381
VTO_9003361	5	VTO_0034991	0.243981922666
VTO_9003361	6	VTO_0001465	0.196428571429
VTO_9003361	7	VTO_0004664	0.142857142857
VTO_9003361	8	VTO_0059196	0.116964285714
VTO_9003361	9	VTO_9020294	0.166666666667
VTO_9003361	10	VTO_0047292	0.106060606061
VTO_9003361	11	VTO_0036855	0.103282828283
VTO_9003361	12	VTO_9014226	0.10101010101
VTO_9003361	13	VTO_9014226	0.10101010101
VTO_9003361	14	VTO_0036818	0.0954545454546
VTO_9003361	15	VTO_0036818	0.0954545454546
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0034991	0.238095238095
VTO_0011622	2	VTO_0034991	0.217261904762
VTO_0011622	3	VTO_0037519	0.222222222222
VTO_0011622	4	VTO_0034612	0.145833333333
VTO_0011622	5	VTO_9011844	0.13125
VTO_0011622	6	VTO_0059208	0.139880952381
VTO_0011622	7	VTO_9020294	0.166666666667
VTO_0011622	8	VTO_0047292	0.10101010101
VTO_0011622	9	VTO_0047292	0.107954545455
VTO_0011622	10	VTO_9020294	0.166666666667
VTO_0011622	11	VTO_0059196	0.0857142857142
VTO_0011622	12	VTO_0057041	0.0443181818182
VTO_0011622	13	VTO_0059208	0.0383522727273
VTO_0011622	14	VTO_0059208	0.0383522727273
