QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0034827	0	VTO_0038052	0.275809118829
VTO_0034827	1	VTO_0060503	0.254112308565
VTO_0034827	2	VTO_0060503	0.225035460993
VTO_0034827	3	VTO_0060503	0.233528966301
VTO_0034827	4	VTO_0060503	0.18619047619
VTO_0034827	5	VTO_9011844	0.157016956715
VTO_0034827	6	VTO_9017517	0.0970249600807
VTO_0034827	7	VTO_0057041	0.100253130829
VTO_0034827	8	VTO_0038538	0.0858799705449
VTO_0034827	9	VTO_0059196	0.0666666666667
VTO_0034827	10	VTO_0059196	0.0588744588745
VTO_0034827	11	VTO_0083133	0.027027027027
VTO_0034827	12	VTO_0083133	0.027027027027
VTO_0034827	13	VTO_9020294	0.025
VTO_0034827	14	VTO_0059196	0.0185185185185
VTO_0034827	15	VTO_0059196	0.0171052631579
VTO_0034827	16	VTO_0059196	0.0171052631579
VTO_0034827	17	VTO_0059196	0.0161290322581
VTO_0038125	0	VTO_0004653	0.286692759295
VTO_0038125	1	VTO_0060503	0.2738005997
VTO_0038125	2	VTO_9026279	0.232611386138
VTO_0038125	3	VTO_0057041	0.213942307693
VTO_0038125	4	VTO_0007235	0.190793807642
VTO_0038125	5	VTO_9027667	0.129047178539
VTO_0038125	6	VTO_0057041	0.116548797737
VTO_0038125	7	VTO_0059196	0.0636363636364
VTO_0038125	8	VTO_0057041	0.0746803069053
VTO_0038125	9	VTO_0059196	0.0470899470899
VTO_0038125	10	VTO_9020294	0.0322580645161
VTO_0038125	11	VTO_9020294	0.0322580645161
VTO_0038125	12	VTO_9020294	0.03125
VTO_0038125	13	VTO_9020294	0.0232558139535
VTO_0038125	14	VTO_0059196	0.0202040816327
VTO_0038125	15	VTO_0059196	0.0198039215687
VTO_0038125	16	VTO_0059196	0.0188679245283
VTO_0038125	17	VTO_0059196	0.0177115987461
VTO_0035069	0	VTO_9011844	0.251865671642
VTO_0035069	1	VTO_9026279	0.232132728304
VTO_0035069	2	VTO_0057041	0.186970338983
VTO_0035069	3	VTO_0057041	0.169871794872
VTO_0035069	4	VTO_0046012	0.0854545454546
VTO_0035069	5	VTO_0059196	0.0689655172414
VTO_0035069	6	VTO_9020294	0.0259784075574
VTO_0035069	7	VTO_9020294	0.0243902439024
VTO_0035069	8	VTO_0059196	0.0173926194797
VTO_0035069	9	VTO_0047292	0.00947888589398
VTO_0035069	10	VTO_0047292	0.00921678559293
VTO_0035069	11	VTO_0047292	0.00655744754042
VTO_0035069	12	VTO_0037714	0.0
VTO_0035069	13	VTO_0037714	0.0
VTO_0035069	14	VTO_0037714	0.0
VTO_0035069	15	VTO_0037714	0.0
VTO_9009112	0	VTO_9026279	0.278157894737
VTO_9009112	1	VTO_9011844	0.237335834897
VTO_9009112	2	VTO_0007235	0.213161057692
VTO_9009112	3	VTO_0007235	0.207344379758
VTO_9009112	4	VTO_0007235	0.158633474577
VTO_9009112	5	VTO_0057041	0.169122426869
VTO_9009112	6	VTO_0039240	0.134648841681
VTO_9009112	7	VTO_0046012	0.108809993425
VTO_9009112	8	VTO_0059196	0.0417293233083
VTO_9009112	9	VTO_9020294	0.0285714285714
VTO_9009112	10	VTO_9020294	0.0281746031746
VTO_9009112	11	VTO_9020294	0.025641025641
VTO_9009112	12	VTO_9020294	0.0224747474747
VTO_9009112	13	VTO_0059196	0.0178571428571
VTO_9009112	14	VTO_0059196	0.0177005012531
VTO_9009112	15	VTO_0059196	0.0177005012531
VTO_9009112	16	VTO_0059196	0.0177005012531
VTO_9009112	17	VTO_0059196	0.0173926194797
VTO_9009112	18	VTO_0059196	0.0173926194797
VTO_9009112	19	VTO_0059196	0.0173926194797
VTO_9031854	0	VTO_9011844	0.269750519751
VTO_9031854	1	VTO_9026279	0.228551791057
VTO_9031854	2	VTO_0057041	0.197940503432
VTO_9031854	3	VTO_0060503	0.197627213551
VTO_9031854	4	VTO_0057041	0.183932346723
VTO_9031854	5	VTO_9020294	0.111111111111
VTO_9031854	6	VTO_0059196	0.0636363636364
VTO_9031854	7	VTO_9020294	0.037037037037
VTO_9031854	8	VTO_9020294	0.0295138888889
VTO_9031854	9	VTO_9020294	0.0263157894737
VTO_9031854	10	VTO_9020294	0.0227272727273
VTO_9031854	11	VTO_0059196	0.02
VTO_9031854	12	VTO_0059196	0.0192378838328
VTO_9031854	13	VTO_0059196	0.0192378838328
VTO_9031854	14	VTO_0059196	0.0178571428571
VTO_9031854	15	VTO_0059196	0.0178571428571
VTO_9031854	16	VTO_0059196	0.0178571428571
VTO_9031854	17	VTO_0059196	0.0177005012531
VTO_9031854	18	VTO_0059196	0.0142208176971
