QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	0.846153846154
VTO_0002654	2	VTO_0034991	0.388839285714
VTO_0002654	3	VTO_0034955	0.306551036682
VTO_0002654	4	VTO_9015969	0.392668422733
VTO_0002654	5	VTO_0000010	0.201787738474
VTO_0002654	6	VTO_9031409	0.224568378287
VTO_0002654	7	VTO_0034543	0.172131770293
VTO_0002654	8	VTO_9030591	0.169162210339
VTO_0002654	9	VTO_0036816	0.123537809708
VTO_0002654	10	VTO_0058035	0.123435340827
VTO_0002654	11	VTO_0000749	0.139534883721
VTO_0002654	12	VTO_0000749	0.139321074964
VTO_0002654	13	VTO_0000749	0.139321074964
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	0.609767628205
VTO_0047199	2	VTO_0033648	0.496420502312
VTO_0047199	3	VTO_9015969	0.350070224719
VTO_0047199	4	VTO_9015969	0.360227272727
VTO_0047199	5	VTO_0034991	0.223442367601
VTO_0047199	6	VTO_0034991	0.191366476661
VTO_0047199	7	VTO_0034991	0.221717634217
VTO_0047199	8	VTO_9015969	0.225
VTO_0047199	9	VTO_0034991	0.238873995053
VTO_0047199	10	VTO_0035614	0.204042838019
VTO_0047199	11	VTO_0034991	0.200639604298
VTO_0047199	12	VTO_0034991	0.198783824871
VTO_0047199	13	VTO_0007235	0.146188381895
VTO_0047199	14	VTO_0034991	0.14909325509
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_0038680	0.541228268167
VTO_9001676	2	VTO_0041374	0.421283979179
VTO_9001676	3	VTO_0035614	0.275559418458
VTO_9001676	4	VTO_0001466	0.309362767526
VTO_9001676	5	VTO_0037519	0.419717687202
VTO_9001676	6	VTO_0038637	0.186853132925
VTO_9001676	7	VTO_9014226	0.152905240293
VTO_9001676	8	VTO_9014226	0.113907214301
VTO_9001676	9	VTO_0053588	0.205936819172
VTO_9001676	10	VTO_9014226	0.116418753807
VTO_9001676	11	VTO_9014226	0.126683477225
VTO_9001676	12	VTO_0038637	0.106178056934
VTO_9001676	13	VTO_0037519	0.135038192298
VTO_9001676	14	VTO_9020294	0.103448275862
VTO_9001676	15	VTO_9020294	0.103448275862
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_0038680	0.480407997057
VTO_9003361	2	VTO_0057869	0.190634125596
VTO_9003361	3	VTO_0038052	0.256930693069
VTO_9003361	4	VTO_0080344	0.242965474378
VTO_9003361	5	VTO_0007235	0.217949022214
VTO_9003361	6	VTO_9004225	0.211487758945
VTO_9003361	7	VTO_9005032	0.187250384025
VTO_9003361	8	VTO_0000749	0.192307692308
VTO_9003361	9	VTO_0034612	0.10083938294
VTO_9003361	10	VTO_0080344	0.173292088983
VTO_9003361	11	VTO_0057041	0.190046932234
VTO_9003361	12	VTO_0034991	0.0811204286047
VTO_9003361	13	VTO_0034991	0.0811204286047
VTO_9003361	14	VTO_0034991	0.0811204286047
VTO_9003361	15	VTO_0034991	0.0811204286047
VTO_9003361	16	VTO_0007235	0.0735453168937
VTO_9003361	17	VTO_0007235	0.0735453168937
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0040252	0.500115372544
VTO_0011622	2	VTO_9004225	0.322045454545
VTO_0011622	3	VTO_9020294	0.488354700855
VTO_0011622	4	VTO_0037519	0.352785278784
VTO_0011622	5	VTO_0052519	0.356209312316
VTO_0011622	6	VTO_0038613	0.252393980848
VTO_0011622	7	VTO_0001465	0.13115942029
VTO_0011622	8	VTO_9004857	0.180323299889
VTO_0011622	9	VTO_0035614	0.18160430839
VTO_0011622	10	VTO_0035614	0.177434640523
VTO_0011622	11	VTO_0034991	0.140277777778
VTO_0011622	12	VTO_9031854	0.171257215007
VTO_0011622	13	VTO_0034955	0.151805837277
VTO_0011622	14	VTO_0037519	0.160912823476
VTO_0011622	15	VTO_0034991	0.139782728273
VTO_0011622	16	VTO_0036816	0.146065611849
