QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0034827	0	VTO_0034827	1.0
VTO_0034827	1	VTO_0034991	0.840626254516
VTO_0034827	2	VTO_0034991	0.716346153846
VTO_0034827	3	VTO_0034991	0.47695035461
VTO_0034827	4	VTO_0034991	0.428814641413
VTO_0034827	5	VTO_0002210	0.393515575334
VTO_0034827	6	VTO_0034991	0.260483870968
VTO_0034827	7	VTO_0034991	0.224604448521
VTO_0034827	8	VTO_0034991	0.220486111111
VTO_0034827	9	VTO_0034991	0.209624211131
VTO_0034827	10	VTO_0034991	0.207952042027
VTO_0034827	11	VTO_0034991	0.194940476191
VTO_0034827	12	VTO_0034991	0.173623063683
VTO_0034827	13	VTO_0034991	0.163882803943
VTO_0034827	14	VTO_0034991	0.15063552044
VTO_0034827	15	VTO_0034991	0.15063552044
VTO_0034827	16	VTO_0034991	0.15063552044
VTO_0038125	0	VTO_0038125	1.0
VTO_0038125	1	VTO_0034991	0.759115646259
VTO_0038125	2	VTO_0034991	0.622448979592
VTO_0038125	3	VTO_0034991	0.682444852941
VTO_0038125	4	VTO_0034989	0.452970465862
VTO_0038125	5	VTO_0033666	0.458009708738
VTO_0038125	6	VTO_0033666	0.292282430213
VTO_0038125	7	VTO_0034991	0.19806763285
VTO_0038125	8	VTO_0022374	0.141428571429
VTO_0038125	9	VTO_0034991	0.179545454545
VTO_0038125	10	VTO_0034991	0.146923076923
VTO_0038125	11	VTO_0034991	0.136666666667
VTO_0038125	12	VTO_0034991	0.149545454546
VTO_0038125	13	VTO_0034991	0.124516129032
VTO_0038125	14	VTO_0034991	0.119633027523
VTO_0038125	15	VTO_0034991	0.119633027523
VTO_0038125	16	VTO_0034991	0.119633027523
VTO_0035069	0	VTO_0035069	1.0
VTO_0035069	1	VTO_0034991	0.814949608063
VTO_0035069	2	VTO_0034991	0.5
VTO_0035069	3	VTO_0034991	0.315018315018
VTO_0035069	4	VTO_0001466	0.3539543642
VTO_0035069	5	VTO_0038678	0.375095809913
VTO_0035069	6	VTO_9014226	0.25894114334
VTO_0035069	7	VTO_0034991	0.233049205734
VTO_0035069	8	VTO_0034991	0.22335600907
VTO_0035069	9	VTO_0034991	0.210321668434
VTO_0035069	10	VTO_0034991	0.210321668434
VTO_0035069	11	VTO_0034991	0.1962659679
VTO_0035069	12	VTO_0034991	0.197690648395
VTO_0035069	13	VTO_0034991	0.210321668434
VTO_0035069	14	VTO_0034991	0.200725115359
VTO_0035069	15	VTO_0034991	0.210321668434
VTO_9009112	0	VTO_9009112	1.0
VTO_9009112	1	VTO_0034991	0.839285714285
VTO_9009112	2	VTO_0037519	0.633945756781
VTO_9009112	3	VTO_0034991	0.536120129871
VTO_9009112	4	VTO_0034991	0.611594202898
VTO_9009112	5	VTO_0034991	0.367583732058
VTO_9009112	6	VTO_0034991	0.261551874455
VTO_9009112	7	VTO_0037519	0.239718309859
VTO_9009112	8	VTO_0037519	0.214944042133
VTO_9009112	9	VTO_0037519	0.251315789473
VTO_9009112	10	VTO_0037519	0.200997314921
VTO_9009112	11	VTO_0034991	0.153086419753
VTO_9009112	12	VTO_0033666	0.139225181598
VTO_9009112	13	VTO_0034991	0.15
VTO_9009112	14	VTO_0034991	0.15
VTO_9009112	15	VTO_0034991	0.15
VTO_9009112	16	VTO_0034991	0.15
VTO_9031854	0	VTO_9031854	1.0
VTO_9031854	1	VTO_0034991	0.775
VTO_9031854	2	VTO_0034991	0.55347985348
VTO_9031854	3	VTO_0034991	0.550508342022
VTO_9031854	4	VTO_0037519	0.452149229521
VTO_9031854	5	VTO_0034955	0.373551804038
VTO_9031854	6	VTO_0036216	0.223782145564
VTO_9031854	7	VTO_0036216	0.235705003249
VTO_9031854	8	VTO_0034991	0.163146997929
VTO_9031854	9	VTO_0036216	0.202564102564
VTO_9031854	10	VTO_0034991	0.150514800515
VTO_9031854	11	VTO_0034991	0.150514800515
VTO_9031854	12	VTO_0036216	0.157720588236
VTO_9031854	13	VTO_0034991	0.150514800515
VTO_9031854	14	VTO_0034991	0.150514800515
VTO_9031854	15	VTO_0037519	0.1304964539
VTO_9031854	16	VTO_0034991	0.135632183908
VTO_9031854	17	VTO_0034991	0.143289841566
VTO_9031854	18	VTO_0034991	0.143289841566
VTO_9031854	19	VTO_0034991	0.143289841566
VTO_9031854	20	VTO_0034991	0.143289841566
