QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0034991	0.61798801454
VTO_0002654	2	VTO_9004227	0.448746663254
VTO_0002654	3	VTO_0034991	0.54772479864
VTO_0002654	4	VTO_0043242	0.459662195728
VTO_0002654	5	VTO_0041375	0.19907430638
VTO_0002654	6	VTO_0034915	0.233899654428
VTO_0002654	7	VTO_9009727	0.330274321267
VTO_0002654	8	VTO_9020294	0.430021367521
VTO_0002654	9	VTO_9020294	0.108695652174
VTO_0002654	10	VTO_9020294	0.12962962963
VTO_0002654	11	VTO_9020294	0.0555555555555
VTO_0002654	12	VTO_0002655	0.0530864197531
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	0.741994944176
VTO_0047199	2	VTO_0034991	0.521510973354
VTO_0047199	3	VTO_0037868	0.626785714286
VTO_0047199	4	VTO_0053586	0.505724256059
VTO_0047199	5	VTO_0038680	0.458983998457
VTO_0047199	6	VTO_0035614	0.400033156499
VTO_0047199	7	VTO_9020294	0.508110936683
VTO_0047199	8	VTO_9020294	0.460140876565
VTO_0047199	9	VTO_0057490	0.24797979798
VTO_0047199	10	VTO_9020294	0.257268951194
VTO_0047199	11	VTO_9020294	0.292483660131
VTO_0047199	12	VTO_0002655	0.147130647131
VTO_0047199	13	VTO_0002655	0.147130647131
VTO_0047199	14	VTO_0002655	0.147130647131
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_0001466	0.609977764085
VTO_9001676	2	VTO_0034991	0.502900600039
VTO_9001676	3	VTO_0037519	0.616208070639
VTO_9001676	4	VTO_0034991	0.488945112321
VTO_9001676	5	VTO_0034991	0.470580296896
VTO_9001676	6	VTO_0001465	0.373230535895
VTO_9001676	7	VTO_0034991	0.267443340972
VTO_9001676	8	VTO_0034915	0.316502661367
VTO_9001676	9	VTO_9010197	0.323110361166
VTO_9001676	10	VTO_9020294	0.490594090967
VTO_9001676	11	VTO_0002639	0.352587174941
VTO_9001676	12	VTO_0002210	0.378380149813
VTO_9001676	13	VTO_0037519	0.221270148291
VTO_9001676	14	VTO_0064711	0.160985782209
VTO_9001676	15	VTO_0033624	0.169352175602
VTO_9001676	16	VTO_0033624	0.189644383394
VTO_9001676	17	VTO_0061195	0.14818962257
VTO_9001676	18	VTO_0064711	0.136406476802
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	0.915032679738
VTO_9003361	2	VTO_0038678	0.537284144427
VTO_9003361	3	VTO_0041846	0.454775341857
VTO_9003361	4	VTO_0038631	0.406059894053
VTO_9003361	5	VTO_0034991	0.604163815477
VTO_9003361	6	VTO_0034991	0.444568965517
VTO_9003361	7	VTO_0034989	0.342666386817
VTO_9003361	8	VTO_9020294	0.317266949152
VTO_9003361	9	VTO_9020294	0.493173372377
VTO_9003361	10	VTO_0033624	0.22038808645
VTO_9003361	11	VTO_0007202	0.171588772379
VTO_9003361	12	VTO_0007202	0.168681795635
VTO_9003361	13	VTO_0033624	0.179004854369
VTO_9003361	14	VTO_0007202	0.168681795635
VTO_9003361	15	VTO_0007202	0.168681795635
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0034991	0.601386658882
VTO_0011622	2	VTO_0037519	0.528833436574
VTO_0011622	3	VTO_0037519	0.522580645161
VTO_0011622	4	VTO_0034989	0.418053977273
VTO_0011622	5	VTO_0034991	0.282475490196
VTO_0011622	6	VTO_0059196	0.288803653849
VTO_0011622	7	VTO_9020294	0.433002237542
VTO_0011622	8	VTO_9020294	0.274631196818
VTO_0011622	9	VTO_9020294	0.130614969638
VTO_0011622	10	VTO_9020294	0.433002237542
VTO_0011622	11	VTO_9020294	0.274631196818
VTO_0011622	12	VTO_9020294	0.155758647799
VTO_0011622	13	VTO_9020294	0.0654808700209
VTO_0011622	14	VTO_0059208	0.0491298749794
