QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0034827	0	VTO_0034827	1.0
VTO_0034827	1	VTO_0034991	0.812296858071
VTO_0034827	2	VTO_0034991	0.707669369118
VTO_0034827	3	VTO_0002210	0.617013888889
VTO_0034827	4	VTO_0038678	0.527614379085
VTO_0034827	5	VTO_0034991	0.5
VTO_0034827	6	VTO_0034991	0.5
VTO_0034827	7	VTO_0034991	0.407248157248
VTO_0034827	8	VTO_0034991	0.3875
VTO_0034827	9	VTO_0037519	0.239845261122
VTO_0034827	10	VTO_0034991	0.174242424242
VTO_0034827	11	VTO_0059208	0.120915513689
VTO_0034827	12	VTO_0059208	0.111111111111
VTO_0034827	13	VTO_0059208	0.107614925723
VTO_0034827	14	VTO_0059208	0.0978260869565
VTO_0034827	15	VTO_0059208	0.0932867883996
VTO_0034827	16	VTO_0059208	0.0932867883996
VTO_0034827	17	VTO_0059208	0.0909183673469
VTO_0038125	0	VTO_0038125	1.0
VTO_0038125	1	VTO_0034991	0.836666666666
VTO_0038125	2	VTO_0034991	0.796626984127
VTO_0038125	3	VTO_0037868	0.596875
VTO_0038125	4	VTO_0034991	0.680518848241
VTO_0038125	5	VTO_0037868	0.5
VTO_0038125	6	VTO_0001466	0.45652173913
VTO_0038125	7	VTO_0034991	0.174242424242
VTO_0038125	8	VTO_0035660	0.240255376344
VTO_0038125	9	VTO_0036816	0.145454545455
VTO_0038125	10	VTO_0059208	0.134326135518
VTO_0038125	11	VTO_0059208	0.121524064171
VTO_0038125	12	VTO_0059208	0.112373737374
VTO_0038125	13	VTO_0059208	0.105266757866
VTO_0038125	14	VTO_0059208	0.102272727273
VTO_0038125	15	VTO_0059208	0.100586913087
VTO_0038125	16	VTO_0059208	0.0963255494505
VTO_0038125	17	VTO_0059208	0.0927933673469
VTO_0035069	0	VTO_0035069	1.0
VTO_0035069	1	VTO_0034991	0.864387464388
VTO_0035069	2	VTO_0034991	0.512376237624
VTO_0035069	3	VTO_0001465	0.420454545455
VTO_0035069	4	VTO_0001466	0.412121212121
VTO_0035069	5	VTO_0034991	0.264478764478
VTO_0035069	6	VTO_0059208	0.113026819923
VTO_0035069	7	VTO_0059208	0.102325581395
VTO_0035069	8	VTO_0059208	0.0947473404255
VTO_0035069	9	VTO_0059208	0.0416666666666
VTO_0035069	10	VTO_0058256	0.0333333333333
VTO_0035069	11	VTO_9014226	0.0327956989247
VTO_0035069	12	VTO_9014226	0.0322580645161
VTO_0035069	13	VTO_9014226	0.0322580645161
VTO_0035069	14	VTO_9014226	0.0322580645161
VTO_0035069	15	VTO_9014226	0.0322580645161
VTO_9009112	0	VTO_9009112	1.0
VTO_9009112	1	VTO_0034991	0.893085655315
VTO_9009112	2	VTO_0034991	0.823587570622
VTO_9009112	3	VTO_0034991	0.621782178218
VTO_9009112	4	VTO_0034991	0.482721801592
VTO_9009112	5	VTO_0002210	0.438446969697
VTO_9009112	6	VTO_0034991	0.421463815789
VTO_9009112	7	VTO_0034991	0.413812785388
VTO_9009112	8	VTO_0059208	0.125
VTO_9009112	9	VTO_0059208	0.115369181381
VTO_9009112	10	VTO_0059208	0.109126984127
VTO_9009112	11	VTO_0059208	0.104133226325
VTO_9009112	12	VTO_0059208	0.100561797753
VTO_9009112	13	VTO_0059208	0.0978723404256
VTO_9009112	14	VTO_0059208	0.0947473404255
VTO_9009112	15	VTO_0059208	0.0934851694916
VTO_9009112	16	VTO_0059208	0.0934851694916
VTO_9009112	17	VTO_0059208	0.0934851694916
VTO_9009112	18	VTO_0059208	0.0934851694916
VTO_9009112	19	VTO_0059208	0.0934851694916
VTO_9031854	0	VTO_9031854	1.0
VTO_9031854	1	VTO_0034991	0.846153846154
VTO_9031854	2	VTO_0034991	0.649035734544
VTO_9031854	3	VTO_0038678	0.531512605042
VTO_9031854	4	VTO_0001466	0.624633431085
VTO_9031854	5	VTO_0034991	0.409953703703
VTO_9031854	6	VTO_0034991	0.174242424242
VTO_9031854	7	VTO_0059208	0.12918956044
VTO_9031854	8	VTO_0059208	0.108747044917
VTO_9031854	9	VTO_0059208	0.108496732026
VTO_9031854	10	VTO_0059208	0.105882352941
VTO_9031854	11	VTO_0059208	0.101776130846
VTO_9031854	12	VTO_0059208	0.0978376462247
VTO_9031854	13	VTO_0059208	0.0978376462247
VTO_9031854	14	VTO_0059208	0.0857771260997
VTO_9031854	15	VTO_0059208	0.0857771260997
VTO_9031854	16	VTO_0059208	0.0857771260997
VTO_9031854	17	VTO_0059208	0.0857771260997
VTO_9031854	18	VTO_0059208	0.0760368663595
