QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0034827	0	VTO_0034827	1.0
VTO_0034827	1	VTO_0034991	0.585249834847
VTO_0034827	2	VTO_0053586	0.595082054746
VTO_0034827	3	VTO_0034991	0.541685195774
VTO_0034827	4	VTO_0034991	0.574769433466
VTO_0034827	5	VTO_0034991	0.585295786879
VTO_0034827	6	VTO_0004569	0.575217244329
VTO_0034827	7	VTO_0034991	0.55393380421
VTO_0034827	8	VTO_0034991	0.542138133251
VTO_0034827	9	VTO_0036855	0.498958828274
VTO_0034827	10	VTO_0036855	0.493233214692
VTO_0034827	11	VTO_9004225	0.488741285096
VTO_0034827	12	VTO_0036855	0.488741285096
VTO_0034827	13	VTO_0036855	0.488741285096
VTO_0034827	14	VTO_0036855	0.48967831658
VTO_0034827	15	VTO_0036855	0.488741285096
VTO_0034827	16	VTO_0036855	0.488741285096
VTO_0034827	17	VTO_0036855	0.488741285096
VTO_0038125	0	VTO_0038125	1.0
VTO_0038125	1	VTO_0034991	0.596015115081
VTO_0038125	2	VTO_9026279	0.579317200348
VTO_0038125	3	VTO_0034991	0.594177064766
VTO_0038125	4	VTO_0034991	0.583848052337
VTO_0038125	5	VTO_0037519	0.567607477774
VTO_0038125	6	VTO_0037519	0.560137768513
VTO_0038125	7	VTO_0034955	0.53692341643
VTO_0038125	8	VTO_0001466	0.540603722861
VTO_0038125	9	VTO_0001466	0.494462981769
VTO_0038125	10	VTO_0003314	0.49974001667
VTO_0038125	11	VTO_0001466	0.473755285471
VTO_0038125	12	VTO_0001466	0.466806938172
VTO_0038125	13	VTO_0059208	0.456240594043
VTO_0038125	14	VTO_0059208	0.453647143371
VTO_0038125	15	VTO_0003314	0.442411934062
VTO_0038125	16	VTO_0059208	0.453647143371
VTO_0038125	17	VTO_0003314	0.442411934062
VTO_0035069	0	VTO_0035069	1.0
VTO_0035069	1	VTO_0034991	0.58056099152
VTO_0035069	2	VTO_0034991	0.547127564216
VTO_0035069	3	VTO_9004225	0.506868903529
VTO_0035069	4	VTO_0036818	0.544963174151
VTO_0035069	5	VTO_0036818	0.540603722861
VTO_0035069	6	VTO_0034955	0.540603722861
VTO_0035069	7	VTO_0001466	0.544963174151
VTO_0035069	8	VTO_0036818	0.490822198429
VTO_0035069	9	VTO_0036855	0.480955840467
VTO_0035069	10	VTO_0001466	0.476476076237
VTO_0035069	11	VTO_0001466	0.471636742129
VTO_0035069	12	VTO_0036818	0.474836946942
VTO_0035069	13	VTO_0058256	0.471246354099
VTO_0035069	14	VTO_0058256	0.471246354099
VTO_0035069	15	VTO_0035730	0.476981419795
VTO_9009112	0	VTO_9009112	1.0
VTO_9009112	1	VTO_0034991	0.586384259339
VTO_9009112	2	VTO_0037519	0.556852988577
VTO_9009112	3	VTO_0034991	0.58184508795
VTO_9009112	4	VTO_0034991	0.573192936664
VTO_9009112	5	VTO_0034991	0.538534244457
VTO_9009112	6	VTO_0034991	0.574769433466
VTO_9009112	7	VTO_0034991	0.574128145402
VTO_9009112	8	VTO_0059208	0.469694315495
VTO_9009112	9	VTO_0001466	0.496438329431
VTO_9009112	10	VTO_0001466	0.489207772631
VTO_9009112	11	VTO_0036855	0.490302945967
VTO_9009112	12	VTO_0001466	0.527031150315
VTO_9009112	13	VTO_0036855	0.488870658203
VTO_9009112	14	VTO_0036855	0.490355818107
VTO_9009112	15	VTO_0036855	0.486988429267
VTO_9009112	16	VTO_0036855	0.486521941732
VTO_9009112	17	VTO_0036855	0.486521941732
VTO_9009112	18	VTO_9004225	0.485088450495
VTO_9009112	19	VTO_9004225	0.485088450495
VTO_9031854	0	VTO_9031854	1.0
VTO_9031854	1	VTO_0037519	0.561815094923
VTO_9031854	2	VTO_0037519	0.559174142805
VTO_9031854	3	VTO_0037519	0.526820624895
VTO_9031854	4	VTO_0034991	0.577938685355
VTO_9031854	5	VTO_0002210	0.544390114995
VTO_9031854	6	VTO_0034955	0.540626284568
VTO_9031854	7	VTO_0001466	0.540603722861
VTO_9031854	8	VTO_0001466	0.540603722861
VTO_9031854	9	VTO_0001466	0.480751560913
VTO_9031854	10	VTO_0001466	0.543494313987
VTO_9031854	11	VTO_9004225	0.484194507851
VTO_9031854	12	VTO_0001466	0.481557377049
VTO_9031854	13	VTO_0001466	0.481557377049
VTO_9031854	14	VTO_9004225	0.482429064637
VTO_9031854	15	VTO_9004225	0.481557377049
VTO_9031854	16	VTO_0001466	0.480692923384
VTO_9031854	17	VTO_0001466	0.480692923384
VTO_9031854	18	VTO_0001466	0.480692923384
