QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0034991	0.790827503356
VTO_0002654	2	VTO_0034991	0.692716507348
VTO_0002654	3	VTO_0034955	0.722442505948
VTO_0002654	4	VTO_0034991	0.66516944201
VTO_0002654	5	VTO_0034991	0.735676351141
VTO_0002654	6	VTO_0034991	0.738157894737
VTO_0002654	7	VTO_0033666	0.724420677362
VTO_0002654	8	VTO_0034991	0.724693251534
VTO_0002654	9	VTO_0034991	0.653589792421
VTO_0002654	10	VTO_0034991	0.643507684523
VTO_0002654	11	VTO_9030591	0.213147129356
VTO_0002654	12	VTO_0034991	0.2748803225
VTO_0002654	13	VTO_0034991	0.522532757706
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0034991	0.723421926911
VTO_0047199	2	VTO_0037519	0.624848284233
VTO_0047199	3	VTO_0034991	0.697061672586
VTO_0047199	4	VTO_0038680	0.601586368978
VTO_0047199	5	VTO_0037519	0.673385249657
VTO_0047199	6	VTO_0034991	0.664884135473
VTO_0047199	7	VTO_0034991	0.600313479624
VTO_0047199	8	VTO_0034991	0.629577010009
VTO_0047199	9	VTO_0035614	0.619657129619
VTO_0047199	10	VTO_0034991	0.691729539826
VTO_0047199	11	VTO_0034991	0.672455671606
VTO_0047199	12	VTO_0034991	0.685351765932
VTO_0047199	13	VTO_0034991	0.691196301291
VTO_0047199	14	VTO_0034991	0.693737136137
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_0034991	0.784293353705
VTO_9001676	2	VTO_0034991	0.709393908663
VTO_9001676	3	VTO_0037519	0.68115942029
VTO_9001676	4	VTO_0034991	0.656824294039
VTO_9001676	5	VTO_0037519	0.713765918738
VTO_9001676	6	VTO_0059208	0.522424242424
VTO_9001676	7	VTO_0034953	0.638108108108
VTO_9001676	8	VTO_0034991	0.702930005426
VTO_9001676	9	VTO_9014226	0.714334135512
VTO_9001676	10	VTO_0034953	0.73
VTO_9001676	11	VTO_9014226	0.740331491713
VTO_9001676	12	VTO_9014226	0.740331491713
VTO_9001676	13	VTO_9014226	0.740331491713
VTO_9001676	14	VTO_0034991	0.706746147136
VTO_9001676	15	VTO_9014226	0.740331491713
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_0034991	0.79534883721
VTO_9003361	2	VTO_0037519	0.637844043627
VTO_9003361	3	VTO_0034991	0.621271538918
VTO_9003361	4	VTO_0022375	0.613868017939
VTO_9003361	5	VTO_0022375	0.350774526679
VTO_9003361	6	VTO_0034991	0.616036655211
VTO_9003361	7	VTO_0037714	0.0
VTO_9003361	8	VTO_0059208	0.10497237569
VTO_9003361	9	VTO_0034991	0.275656408809
VTO_9003361	10	VTO_0034991	0.489924085576
VTO_9003361	11	VTO_0034991	0.489924085576
VTO_9003361	12	VTO_0034991	0.489924085576
VTO_9003361	13	VTO_0034991	0.489924085576
VTO_9003361	14	VTO_0034991	0.483491337038
VTO_9003361	15	VTO_0034991	0.489924085576
VTO_9003361	16	VTO_0041727	0.479265518363
VTO_9003361	17	VTO_0034991	0.275656408809
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0034991	0.747664884136
VTO_0011622	2	VTO_0034991	0.770026737968
VTO_0011622	3	VTO_0034991	0.536617973131
VTO_0011622	4	VTO_0001465	0.755970372339
VTO_0011622	5	VTO_0034991	0.766640926641
VTO_0011622	6	VTO_0034991	0.571778306698
VTO_0011622	7	VTO_0059208	0.489636462289
VTO_0011622	8	VTO_0034991	0.439505347594
VTO_0011622	9	VTO_0034991	0.622311348782
VTO_0011622	10	VTO_0034991	0.446843434343
VTO_0011622	11	VTO_0034991	0.677871939737
VTO_0011622	12	VTO_0034991	0.680994152047
VTO_0011622	13	VTO_0034991	0.668888888889
VTO_0011622	14	VTO_0034991	0.555263157895
VTO_0011622	15	VTO_0034991	0.568702553485
VTO_0011622	16	VTO_0034991	0.680994152047
