QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0052581	0	VTO_0052581	1.0
VTO_0052581	1	VTO_0034991	0.503785744217
VTO_0052581	2	VTO_0034991	0.507188304707
VTO_0052581	3	VTO_0034991	0.509850532876
VTO_0052581	4	VTO_0034991	0.482278126952
VTO_0052581	5	VTO_0034991	0.499992824597
VTO_0052581	6	VTO_0034991	0.509212692947
VTO_0052581	7	VTO_0037519	0.489213514262
VTO_0052581	8	VTO_0034991	0.468964272826
VTO_0052581	9	VTO_0034991	0.482346625767
VTO_0052581	10	VTO_0037519	0.469411843158
VTO_0052581	11	VTO_0034991	0.455738179142
VTO_0052581	12	VTO_0034991	0.458232458306
VTO_0052581	13	VTO_0034991	0.467769000196
VTO_0037490	0	VTO_0037490	1.0
VTO_0037490	1	VTO_0034991	0.595270414099
VTO_0037490	2	VTO_0034991	0.554891423558
VTO_0037490	3	VTO_0034991	0.519659939733
VTO_0037490	4	VTO_0034991	0.519869088529
VTO_0037490	5	VTO_0034991	0.502069678587
VTO_0037490	6	VTO_0034991	0.50246848181
VTO_0037490	7	VTO_0034991	0.48698948291
VTO_0037490	8	VTO_0034991	0.453104436068
VTO_0037490	9	VTO_0037519	0.483026584867
VTO_0037490	10	VTO_0037519	0.452723554564
VTO_0037490	11	VTO_0034991	0.452954121098
VTO_0037490	12	VTO_0037519	0.446836108677
VTO_0037490	13	VTO_0037519	0.461843529792
VTO_0080000	0	VTO_0080000	1.0
VTO_0080000	1	VTO_0080000	0.614358974359
VTO_0080000	2	VTO_0034991	0.537595538439
VTO_0080000	3	VTO_0034991	0.48165219383
VTO_0080000	4	VTO_0034991	0.465289636423
VTO_0080000	5	VTO_0034991	0.520644929274
VTO_0080000	6	VTO_0034991	0.493755861435
VTO_0080000	7	VTO_0034991	0.436169706582
VTO_0080000	8	VTO_0034991	0.440130130921
VTO_0080000	9	VTO_0034991	0.429356380208
VTO_0080000	10	VTO_0034991	0.412509509896
VTO_0080000	11	VTO_0034991	0.436734103081
VTO_0080000	12	VTO_0034991	0.442475491746
VTO_0080000	13	VTO_0034991	0.396030667539
VTO_0080000	14	VTO_0034991	0.432741362609
VTO_0080000	15	VTO_0034991	0.434799634512
VTO_0080000	16	VTO_0034991	0.349693251534
VTO_0003943	0	VTO_0003943	1.0
VTO_0003943	1	VTO_0034991	0.597513172527
VTO_0003943	2	VTO_0034991	0.534694812162
VTO_0003943	3	VTO_0034991	0.518819716599
VTO_0003943	4	VTO_0034991	0.502429043349
VTO_0003943	5	VTO_0037519	0.49351736679
VTO_0003943	6	VTO_0034991	0.475063835457
VTO_0003943	7	VTO_0037519	0.47144623196
VTO_0003943	8	VTO_0034991	0.488219174093
VTO_0003943	9	VTO_0034991	0.469258468925
VTO_0003943	10	VTO_0034991	0.47340459174
VTO_0003943	11	VTO_0034991	0.461737155186
VTO_0003943	12	VTO_0037519	0.429988335018
VTO_0003943	13	VTO_0037519	0.451751834676
VTO_0003943	14	VTO_0034991	0.453728699827
VTO_0003943	15	VTO_0034991	0.444458168879
VTO_9007203	0	VTO_9007203	1.0
VTO_9007203	1	VTO_9007203	0.629696658719
VTO_9007203	2	VTO_0034991	0.561143238625
VTO_9007203	3	VTO_0034991	0.527345670935
VTO_9007203	4	VTO_0034991	0.53968365345
VTO_9007203	5	VTO_0034991	0.516913196248
VTO_9007203	6	VTO_0034991	0.483035309142
VTO_9007203	7	VTO_0034991	0.4902318496
VTO_9007203	8	VTO_0034991	0.454668689964
VTO_9007203	9	VTO_0034991	0.471954815779
VTO_9007203	10	VTO_0034991	0.467020715183
VTO_9007203	11	VTO_0034991	0.470380833868
VTO_9007203	12	VTO_0034991	0.472375690608
VTO_9007203	13	VTO_0034991	0.447077638848
VTO_9007203	14	VTO_0034991	0.452243816085
VTO_9007203	15	VTO_0034991	0.452243816085
