QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0034991	0.497902649241
VTO_0002654	2	VTO_0034991	0.404520032397
VTO_0002654	3	VTO_0034991	0.475395477751
VTO_0002654	4	VTO_9004225	0.392249049474
VTO_0002654	5	VTO_0062285	0.221349206349
VTO_0002654	6	VTO_0059208	0.324480762683
VTO_0002654	7	VTO_9014226	0.352197910507
VTO_0002654	8	VTO_9014226	0.295289803734
VTO_0002654	9	VTO_9004225	0.304912729919
VTO_0002654	10	VTO_0047292	0.292964641676
VTO_0002654	11	VTO_0001466	0.27807486631
VTO_0002654	12	VTO_0047292	0.365703732289
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	0.586493987049
VTO_0047199	2	VTO_0034991	0.498740303399
VTO_0047199	3	VTO_0034991	0.446202077506
VTO_0047199	4	VTO_0053586	0.442949574935
VTO_0047199	5	VTO_0034991	0.466295933169
VTO_0047199	6	VTO_0034991	0.421090733591
VTO_0047199	7	VTO_0001466	0.388269276731
VTO_0047199	8	VTO_0034955	0.331909146039
VTO_0047199	9	VTO_0001466	0.357668163578
VTO_0047199	10	VTO_0036855	0.349717295737
VTO_0047199	11	VTO_0036855	0.35307486631
VTO_0047199	12	VTO_0047292	0.410671551393
VTO_0047199	13	VTO_0047292	0.410671551393
VTO_0047199	14	VTO_0047292	0.410671551393
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	0.530303336704
VTO_9001676	2	VTO_0035073	0.504113454114
VTO_9001676	3	VTO_0001465	0.486544121254
VTO_9001676	4	VTO_0034991	0.467862250995
VTO_9001676	5	VTO_0034991	0.482631578947
VTO_9001676	6	VTO_0001465	0.474248678738
VTO_9001676	7	VTO_0037519	0.43040984125
VTO_9001676	8	VTO_0002210	0.480137299771
VTO_9001676	9	VTO_0037519	0.460727802993
VTO_9001676	10	VTO_0034991	0.416554238337
VTO_9001676	11	VTO_0034991	0.437572054544
VTO_9001676	12	VTO_9030591	0.440614167568
VTO_9001676	13	VTO_0001465	0.389285714286
VTO_9001676	14	VTO_0034955	0.403521969238
VTO_9001676	15	VTO_0059208	0.375606936416
VTO_9001676	16	VTO_0059208	0.365263157895
VTO_9001676	17	VTO_0034955	0.381582525152
VTO_9001676	18	VTO_0059208	0.365263157895
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	0.68146741424
VTO_9003361	2	VTO_0034991	0.535700886967
VTO_9003361	3	VTO_0034991	0.459641176958
VTO_9003361	4	VTO_0034991	0.491060086261
VTO_9003361	5	VTO_0034955	0.442199873946
VTO_9003361	6	VTO_0034991	0.395763060469
VTO_9003361	7	VTO_9004225	0.40780459604
VTO_9003361	8	VTO_9004225	0.386770518484
VTO_9003361	9	VTO_0036855	0.388570582344
VTO_9003361	10	VTO_0036818	0.362370766488
VTO_9003361	11	VTO_0047292	0.386322288991
VTO_9003361	12	VTO_0047292	0.417250124042
VTO_9003361	13	VTO_0047292	0.386322288991
VTO_9003361	14	VTO_0047292	0.386322288991
VTO_9003361	15	VTO_0047292	0.386322288991
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0034991	0.478821729986
VTO_0011622	2	VTO_9004225	0.385503264379
VTO_0011622	3	VTO_0058256	0.411170634826
VTO_0011622	4	VTO_0034991	0.447265950897
VTO_0011622	5	VTO_0059208	0.296540140679
VTO_0011622	6	VTO_0034955	0.351946420144
VTO_0011622	7	VTO_0036818	0.203592133588
VTO_0011622	8	VTO_9004225	0.315480156786
VTO_0011622	9	VTO_0036855	0.339930536413
VTO_0011622	10	VTO_0001466	0.210897336537
VTO_0011622	11	VTO_0059208	0.256330683196
VTO_0011622	12	VTO_0059208	0.196666666667
VTO_0011622	13	VTO_0059208	0.26
VTO_0011622	14	VTO_0059208	0.26
