QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0034612	0.19
VTO_0002654	1	VTO_9015969	0.2
VTO_0002654	2	VTO_9015969	0.145
VTO_0002654	3	VTO_0034915	0.13
VTO_0002654	4	VTO_0037714	0.0
VTO_0002654	5	VTO_0037714	0.0
VTO_0002654	6	VTO_0037714	0.0
VTO_0002654	7	VTO_0037714	0.0
VTO_0002654	8	VTO_0037714	0.0
VTO_0002654	9	VTO_0037714	0.0
VTO_0002654	10	VTO_0037714	0.0
VTO_0002654	11	VTO_0037714	0.0
VTO_0002654	12	VTO_0037714	0.0
VTO_0047199	0	VTO_9015969	0.16
VTO_0047199	1	VTO_9015969	0.21
VTO_0047199	2	VTO_0003364	0.115
VTO_0047199	3	VTO_0053586	0.135
VTO_0047199	4	VTO_0057041	0.135
VTO_0047199	5	VTO_0057041	0.15
VTO_0047199	6	VTO_0000124	0.12
VTO_0047199	7	VTO_0037714	0.0
VTO_0047199	8	VTO_0037714	0.0
VTO_0047199	9	VTO_0080344	0.17
VTO_0047199	10	VTO_0037714	0.0
VTO_0047199	11	VTO_0037714	0.0
VTO_0047199	12	VTO_0037714	0.0
VTO_0047199	13	VTO_0037714	0.0
VTO_0047199	14	VTO_0037714	0.0
VTO_9001676	0	VTO_0004637	0.17
VTO_9001676	1	VTO_0003364	0.2
VTO_9001676	2	VTO_9012741	0.18
VTO_9001676	3	VTO_0040904	0.17
VTO_9001676	4	VTO_0003364	0.175
VTO_9001676	5	VTO_0003364	0.145
VTO_9001676	6	VTO_0007064	0.12
VTO_9001676	7	VTO_0007064	0.12
VTO_9001676	8	VTO_9022808	0.12
VTO_9001676	9	VTO_0039240	0.21
VTO_9001676	10	VTO_9022875	0.125
VTO_9001676	11	VTO_0003364	0.13
VTO_9001676	12	VTO_9022875	0.21
VTO_9001676	13	VTO_9009727	0.04
VTO_9001676	14	VTO_0000124	0.055
VTO_9001676	15	VTO_0047292	0.015
VTO_9001676	16	VTO_0057041	0.015
VTO_9001676	17	VTO_0037714	0.0
VTO_9001676	18	VTO_0037714	0.0
VTO_9003361	0	VTO_0062285	0.125
VTO_9003361	1	VTO_9015969	0.18
VTO_9003361	2	VTO_0062285	0.165
VTO_9003361	3	VTO_0034612	0.225
VTO_9003361	4	VTO_0062285	0.18
VTO_9003361	5	VTO_9016465	0.165
VTO_9003361	6	VTO_9015969	0.14
VTO_9003361	7	VTO_0080344	0.035
VTO_9003361	8	VTO_0080344	0.03
VTO_9003361	9	VTO_0037714	0.0
VTO_9003361	10	VTO_0037714	0.0
VTO_9003361	11	VTO_0037714	0.0
VTO_9003361	12	VTO_0037714	0.0
VTO_9003361	13	VTO_0037714	0.0
VTO_9003361	14	VTO_0037714	0.0
VTO_9003361	15	VTO_0037714	0.0
VTO_0011622	0	VTO_0081338	0.17
VTO_0011622	1	VTO_9015969	0.185
VTO_0011622	2	VTO_9013729	0.13
VTO_0011622	3	VTO_0053586	0.135
VTO_0011622	4	VTO_0060503	0.1
VTO_0011622	5	VTO_0053588	0.02
VTO_0011622	6	VTO_0037714	0.0
VTO_0011622	7	VTO_0037714	0.0
VTO_0011622	8	VTO_0037714	0.0
VTO_0011622	9	VTO_0037714	0.0
VTO_0011622	10	VTO_0037714	0.0
VTO_0011622	11	VTO_0037714	0.0
VTO_0011622	12	VTO_0037714	0.0
VTO_0011622	13	VTO_0037714	0.0
VTO_0011622	14	VTO_0037714	0.0
