QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	0.9
VTO_0002654	1	VTO_0002654	0.685
VTO_0002654	2	VTO_0035660	0.59
VTO_0002654	3	VTO_0034955	0.64
VTO_0002654	4	VTO_0034991	0.55
VTO_0002654	5	VTO_0034991	0.66
VTO_0002654	6	VTO_0034991	0.705
VTO_0002654	7	VTO_0034991	0.665
VTO_0002654	8	VTO_0034991	0.64
VTO_0002654	9	VTO_0034991	0.565
VTO_0002654	10	VTO_0034991	0.57
VTO_0002654	11	VTO_0034991	0.155
VTO_0002654	12	VTO_0034991	0.215
VTO_0002654	13	VTO_0034991	0.425
VTO_0047199	0	VTO_0047199	0.875
VTO_0047199	1	VTO_0034991	0.65
VTO_0047199	2	VTO_0036216	0.53
VTO_0047199	3	VTO_0034991	0.59
VTO_0047199	4	VTO_0034991	0.555
VTO_0047199	5	VTO_0037519	0.61
VTO_0047199	6	VTO_0034991	0.585
VTO_0047199	7	VTO_0035614	0.525
VTO_0047199	8	VTO_0035614	0.55
VTO_0047199	9	VTO_0035614	0.575
VTO_0047199	10	VTO_0034991	0.595
VTO_0047199	11	VTO_0034991	0.585
VTO_0047199	12	VTO_0036816	0.59
VTO_0047199	13	VTO_0034991	0.585
VTO_0047199	14	VTO_0034991	0.595
VTO_9001676	0	VTO_9001676	0.87
VTO_9001676	1	VTO_0034991	0.67
VTO_9001676	2	VTO_0041727	0.65
VTO_9001676	3	VTO_0037519	0.63
VTO_9001676	4	VTO_0034991	0.62
VTO_9001676	5	VTO_0037519	0.665
VTO_9001676	6	VTO_0059208	0.48
VTO_9001676	7	VTO_0034953	0.615
VTO_9001676	8	VTO_0034953	0.67
VTO_9001676	9	VTO_0034991	0.65
VTO_9001676	10	VTO_0034953	0.7
VTO_9001676	11	VTO_9014226	0.67
VTO_9001676	12	VTO_0034953	0.69
VTO_9001676	13	VTO_0034991	0.685
VTO_9001676	14	VTO_0034991	0.655
VTO_9001676	15	VTO_0036816	0.71
VTO_9003361	0	VTO_9003361	0.885
VTO_9003361	1	VTO_0033666	0.655
VTO_9003361	2	VTO_0034991	0.58
VTO_9003361	3	VTO_0034991	0.57
VTO_9003361	4	VTO_0022375	0.545
VTO_9003361	5	VTO_0022375	0.275
VTO_9003361	6	VTO_0034991	0.575
VTO_9003361	7	VTO_0037714	0.0
VTO_9003361	8	VTO_0059208	0.095
VTO_9003361	9	VTO_0036816	0.23
VTO_9003361	10	VTO_0034991	0.425
VTO_9003361	11	VTO_0034991	0.425
VTO_9003361	12	VTO_0034991	0.425
VTO_9003361	13	VTO_0001466	0.425
VTO_9003361	14	VTO_0037519	0.425
VTO_9003361	15	VTO_0034991	0.425
VTO_9003361	16	VTO_0041727	0.425
VTO_9003361	17	VTO_0036816	0.23
VTO_0011622	0	VTO_0011622	0.87
VTO_0011622	1	VTO_0002210	0.655
VTO_0011622	2	VTO_0034991	0.715
VTO_0011622	3	VTO_0034991	0.48
VTO_0011622	4	VTO_0034991	0.715
VTO_0011622	5	VTO_0034991	0.665
VTO_0011622	6	VTO_0034991	0.49
VTO_0011622	7	VTO_0059208	0.435
VTO_0011622	8	VTO_0034991	0.405
VTO_0011622	9	VTO_0034991	0.57
VTO_0011622	10	VTO_0034991	0.4
VTO_0011622	11	VTO_0034991	0.605
VTO_0011622	12	VTO_0034991	0.63
VTO_0011622	13	VTO_0034991	0.63
VTO_0011622	14	VTO_0034991	0.49
VTO_0011622	15	VTO_0034991	0.49
VTO_0011622	16	VTO_0034991	0.63
