QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	0.9
VTO_0002654	1	VTO_0034991	0.62
VTO_0002654	2	VTO_9004225	0.52
VTO_0002654	3	VTO_0036816	0.54
VTO_0002654	4	VTO_0001466	0.515
VTO_0002654	5	VTO_0036818	0.03
VTO_0002654	6	VTO_0059208	0.395
VTO_0002654	7	VTO_9014226	0.495
VTO_0002654	8	VTO_0058256	0.355
VTO_0002654	9	VTO_0036818	0.425
VTO_0002654	10	VTO_0001466	0.52
VTO_0002654	11	VTO_0036818	0.5
VTO_0002654	12	VTO_0036818	0.52
VTO_0047199	0	VTO_0047199	0.875
VTO_0047199	1	VTO_0036816	0.645
VTO_0047199	2	VTO_0034991	0.615
VTO_0047199	3	VTO_0034991	0.535
VTO_0047199	4	VTO_0035614	0.525
VTO_0047199	5	VTO_0034991	0.62
VTO_0047199	6	VTO_0038537	0.525
VTO_0047199	7	VTO_0001466	0.505
VTO_0047199	8	VTO_0034955	0.485
VTO_0047199	9	VTO_0001466	0.52
VTO_0047199	10	VTO_0001466	0.5
VTO_0047199	11	VTO_0036818	0.5
VTO_0047199	12	VTO_0036818	0.52
VTO_0047199	13	VTO_0036818	0.52
VTO_0047199	14	VTO_0036818	0.52
VTO_9001676	0	VTO_9001676	0.87
VTO_9001676	1	VTO_0001466	0.65
VTO_9001676	2	VTO_0034991	0.66
VTO_9001676	3	VTO_0037519	0.585
VTO_9001676	4	VTO_0034991	0.645
VTO_9001676	5	VTO_0034991	0.655
VTO_9001676	6	VTO_0034991	0.63
VTO_9001676	7	VTO_0037519	0.605
VTO_9001676	8	VTO_0002210	0.68
VTO_9001676	9	VTO_0037519	0.64
VTO_9001676	10	VTO_0034991	0.565
VTO_9001676	11	VTO_0002210	0.57
VTO_9001676	12	VTO_0036816	0.565
VTO_9001676	13	VTO_0036816	0.48
VTO_9001676	14	VTO_0034955	0.545
VTO_9001676	15	VTO_0059208	0.51
VTO_9001676	16	VTO_0059208	0.51
VTO_9001676	17	VTO_0059208	0.51
VTO_9001676	18	VTO_0059208	0.52
VTO_9003361	0	VTO_9003361	0.885
VTO_9003361	1	VTO_0034991	0.675
VTO_9003361	2	VTO_0034991	0.705
VTO_9003361	3	VTO_0034991	0.625
VTO_9003361	4	VTO_0034991	0.64
VTO_9003361	5	VTO_0034955	0.55
VTO_9003361	6	VTO_0034955	0.525
VTO_9003361	7	VTO_9004225	0.52
VTO_9003361	8	VTO_9004225	0.52
VTO_9003361	9	VTO_0036818	0.52
VTO_9003361	10	VTO_0036818	0.52
VTO_9003361	11	VTO_0036818	0.52
VTO_9003361	12	VTO_0036818	0.52
VTO_9003361	13	VTO_0036818	0.52
VTO_9003361	14	VTO_0036818	0.52
VTO_9003361	15	VTO_0036818	0.52
VTO_0011622	0	VTO_0011622	0.87
VTO_0011622	1	VTO_0034991	0.64
VTO_0011622	2	VTO_9004225	0.47
VTO_0011622	3	VTO_0037519	0.475
VTO_0011622	4	VTO_0037519	0.54
VTO_0011622	5	VTO_0059208	0.35
VTO_0011622	6	VTO_0034955	0.48
VTO_0011622	7	VTO_0036818	0.19
VTO_0011622	8	VTO_0036818	0.345
VTO_0011622	9	VTO_0001466	0.52
VTO_0011622	10	VTO_0036818	0.335
VTO_0011622	11	VTO_0059208	0.44
VTO_0011622	12	VTO_0059208	0.38
VTO_0011622	13	VTO_0059208	0.5
VTO_0011622	14	VTO_0059208	0.52
