QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	0.83
VTO_0002654	1	VTO_0034991	0.2375
VTO_0002654	2	VTO_0034991	0.1725
VTO_0002654	3	VTO_9004225	0.235
VTO_0002654	4	VTO_0001466	0.1625
VTO_0002654	5	VTO_9012092	0.1075
VTO_0002654	6	VTO_0059208	0.0825
VTO_0002654	7	VTO_9014226	0.16
VTO_0002654	8	VTO_9004225	0.1425
VTO_0002654	9	VTO_0036818	0.145
VTO_0002654	10	VTO_0001466	0.24
VTO_0002654	11	VTO_0036818	0.1875
VTO_0002654	12	VTO_0047292	0.26
VTO_0047199	0	VTO_0047199	0.79
VTO_0047199	1	VTO_0047199	0.295
VTO_0047199	2	VTO_0034991	0.2275
VTO_0047199	3	VTO_9004225	0.1875
VTO_0047199	4	VTO_0053586	0.225
VTO_0047199	5	VTO_0034991	0.2375
VTO_0047199	6	VTO_9004225	0.195
VTO_0047199	7	VTO_0001466	0.16
VTO_0047199	8	VTO_9022808	0.1325
VTO_0047199	9	VTO_0001466	0.215
VTO_0047199	10	VTO_0001466	0.1825
VTO_0047199	11	VTO_0036818	0.1925
VTO_0047199	12	VTO_0047292	0.27
VTO_0047199	13	VTO_0047292	0.27
VTO_0047199	14	VTO_0047292	0.27
VTO_9001676	0	VTO_9001676	0.79
VTO_9001676	1	VTO_0001466	0.2575
VTO_9001676	2	VTO_0034991	0.24
VTO_9001676	3	VTO_0037462	0.1925
VTO_9001676	4	VTO_0034991	0.24
VTO_9001676	5	VTO_0034991	0.24
VTO_9001676	6	VTO_0034991	0.24
VTO_9001676	7	VTO_0037519	0.235
VTO_9001676	8	VTO_0002210	0.25
VTO_9001676	9	VTO_0037519	0.235
VTO_9001676	10	VTO_0034991	0.185
VTO_9001676	11	VTO_0002210	0.1825
VTO_9001676	12	VTO_0036816	0.24
VTO_9001676	13	VTO_0036816	0.14
VTO_9001676	14	VTO_0034955	0.185
VTO_9001676	15	VTO_0059208	0.175
VTO_9001676	16	VTO_0059208	0.17
VTO_9001676	17	VTO_0059208	0.1725
VTO_9001676	18	VTO_0059208	0.2525
VTO_9003361	0	VTO_9003361	0.81
VTO_9003361	1	VTO_9003361	0.39
VTO_9003361	2	VTO_0034991	0.2775
VTO_9003361	3	VTO_0034991	0.225
VTO_9003361	4	VTO_0001466	0.23
VTO_9003361	5	VTO_9004225	0.2125
VTO_9003361	6	VTO_9004225	0.1875
VTO_9003361	7	VTO_9004225	0.24
VTO_9003361	8	VTO_9004225	0.2325
VTO_9003361	9	VTO_0001466	0.255
VTO_9003361	10	VTO_9004225	0.2275
VTO_9003361	11	VTO_0001466	0.26
VTO_9003361	12	VTO_0047292	0.275
VTO_9003361	13	VTO_0047292	0.265
VTO_9003361	14	VTO_0047292	0.265
VTO_9003361	15	VTO_0047292	0.265
VTO_0011622	0	VTO_0011622	0.79
VTO_0011622	1	VTO_0034991	0.2225
VTO_0011622	2	VTO_9004225	0.1425
VTO_0011622	3	VTO_0001466	0.17
VTO_0011622	4	VTO_0037519	0.17
VTO_0011622	5	VTO_0062285	0.1125
VTO_0011622	6	VTO_0034955	0.1225
VTO_0011622	7	VTO_0038538	0.035
VTO_0011622	8	VTO_0003314	0.105
VTO_0011622	9	VTO_0001466	0.235
VTO_0011622	10	VTO_0036818	0.07
VTO_0011622	11	VTO_0059208	0.17
VTO_0011622	12	VTO_0059208	0.1525
VTO_0011622	13	VTO_0059208	0.205
VTO_0011622	14	VTO_0059208	0.285
