QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0052581	0	VTO_0052581	0.9
VTO_0052581	1	VTO_0034991	0.445
VTO_0052581	2	VTO_0034991	0.425
VTO_0052581	3	VTO_0038680	0.3825
VTO_0052581	4	VTO_0035660	0.385
VTO_0052581	5	VTO_0037519	0.4
VTO_0052581	6	VTO_0035660	0.315
VTO_0052581	7	VTO_0059208	0.3625
VTO_0052581	8	VTO_0059208	0.345
VTO_0052581	9	VTO_0059208	0.33
VTO_0052581	10	VTO_0059208	0.31
VTO_0052581	11	VTO_0059208	0.3
VTO_0052581	12	VTO_0059208	0.34
VTO_0052581	13	VTO_0059208	0.3475
VTO_0037490	0	VTO_0037490	0.87
VTO_0037490	1	VTO_0037490	0.4625
VTO_0037490	2	VTO_0034991	0.4375
VTO_0037490	3	VTO_0034991	0.4125
VTO_0037490	4	VTO_9004225	0.395
VTO_0037490	5	VTO_0034955	0.38
VTO_0037490	6	VTO_0034955	0.38
VTO_0037490	7	VTO_0034955	0.385
VTO_0037490	8	VTO_9004225	0.3725
VTO_0037490	9	VTO_0035730	0.3775
VTO_0037490	10	VTO_9004225	0.375
VTO_0037490	11	VTO_0034955	0.37
VTO_0037490	12	VTO_0001466	0.37
VTO_0037490	13	VTO_0034955	0.37
VTO_0037490	14	VTO_0035730	0.3775
VTO_0080000	0	VTO_0080000	0.9
VTO_0080000	1	VTO_0034991	0.4875
VTO_0080000	2	VTO_0034991	0.46
VTO_0080000	3	VTO_9004225	0.405
VTO_0080000	4	VTO_0001466	0.4025
VTO_0080000	5	VTO_0036855	0.4075
VTO_0080000	6	VTO_9004225	0.375
VTO_0080000	7	VTO_9004225	0.39
VTO_0080000	8	VTO_0058256	0.39
VTO_0080000	9	VTO_9004225	0.385
VTO_0080000	10	VTO_9023506	0.36
VTO_0080000	11	VTO_9004225	0.345
VTO_0080000	12	VTO_9014226	0.36
VTO_0080000	13	VTO_9004225	0.345
VTO_0080000	14	VTO_0047292	0.385
VTO_0003943	0	VTO_0003943	0.86
VTO_0003943	1	VTO_0002210	0.485
VTO_0003943	2	VTO_0034991	0.4425
VTO_0003943	3	VTO_0001465	0.42
VTO_0003943	4	VTO_0036855	0.3225
VTO_0003943	5	VTO_0001466	0.3775
VTO_0003943	6	VTO_0059208	0.3375
VTO_0003943	7	VTO_0001466	0.355
VTO_0003943	8	VTO_0059208	0.33
VTO_0003943	9	VTO_9004225	0.3325
VTO_0003943	10	VTO_9014226	0.29
VTO_0003943	11	VTO_9014226	0.3175
VTO_0003943	12	VTO_0059208	0.34
VTO_0003943	13	VTO_0059208	0.345
VTO_9007203	0	VTO_9007203	0.83
VTO_9007203	1	VTO_9007203	0.535
VTO_9007203	2	VTO_0034991	0.4625
VTO_9007203	3	VTO_0034991	0.425
VTO_9007203	4	VTO_0034991	0.4175
VTO_9007203	5	VTO_0001466	0.38
VTO_9007203	6	VTO_9004225	0.3925
VTO_9007203	7	VTO_0001466	0.38
VTO_9007203	8	VTO_9004225	0.37
VTO_9007203	9	VTO_0001466	0.365
VTO_9007203	10	VTO_0001466	0.355
VTO_9007203	11	VTO_0001466	0.355
VTO_9007203	12	VTO_0001466	0.345
VTO_9007203	13	VTO_0036855	0.3575
VTO_9007203	14	VTO_0036855	0.35
VTO_9007203	15	VTO_0001466	0.3375
VTO_9007203	16	VTO_0001466	0.36
VTO_9007203	17	VTO_9004225	0.325
VTO_9007203	18	VTO_9004225	0.32
VTO_9007203	19	VTO_0036855	0.2075
VTO_9007203	20	VTO_0036855	0.315
VTO_9007203	21	VTO_0036855	0.1925
