QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0034827	0	VTO_0034827	1.0
VTO_0034827	1	VTO_0034827	0.359213572777
VTO_0034827	2	VTO_0037466	0.168358196208
VTO_0034827	3	VTO_0056346	0.140897956034
VTO_0034827	4	VTO_9028414	0.140731766774
VTO_0034827	5	VTO_0063026	0.123034354877
VTO_0034827	6	VTO_0059211	0.0917898605195
VTO_0034827	7	VTO_0059211	0.0724036714346
VTO_0034827	8	VTO_0060937	0.0655898497772
VTO_0034827	9	VTO_0010956	0.0495021488071
VTO_0034827	10	VTO_9019653	0.0524061908601
VTO_0034827	11	VTO_9019653	0.052513387459
VTO_0034827	12	VTO_9019653	0.0524575293233
VTO_0034827	13	VTO_9019653	0.0533497605653
VTO_0034827	14	VTO_9019653	0.0480799092044
VTO_0034827	15	VTO_0057715	0.0553769183514
VTO_0034827	16	VTO_0057715	0.0552488018199
VTO_0038125	0	VTO_0038125	1.0
VTO_0038125	1	VTO_0038125	0.338911564626
VTO_0038125	2	VTO_0038125	0.194853701941
VTO_0038125	3	VTO_0035737	0.163627134622
VTO_0038125	4	VTO_0066352	0.165566736092
VTO_0038125	5	VTO_0030541	0.173422031737
VTO_0038125	6	VTO_0030541	0.0909874286267
VTO_0038125	7	VTO_0043807	0.0702056993963
VTO_0038125	8	VTO_0034827	0.0678669617626
VTO_0038125	9	VTO_0008279	0.0507676479899
VTO_0038125	10	VTO_0006508	0.0919802846746
VTO_0038125	11	VTO_9020385	0.0529832168955
VTO_0038125	12	VTO_9020385	0.0624080070651
VTO_0038125	13	VTO_9020385	0.0598669270957
VTO_0038125	14	VTO_9020385	0.0595472556789
VTO_0038125	15	VTO_0008279	0.061777192212
VTO_0038125	16	VTO_0008279	0.0621044885946
VTO_0035069	0	VTO_0035069	1.0
VTO_0035069	1	VTO_0035069	0.313728340505
VTO_0035069	2	VTO_0035069	0.159589226894
VTO_0035069	3	VTO_9006639	0.140843838173
VTO_0035069	4	VTO_0041416	0.137878591387
VTO_0035069	5	VTO_9012172	0.130549576992
VTO_0035069	6	VTO_0022381	0.0929839750119
VTO_0035069	7	VTO_9011767	0.0829871202221
VTO_0035069	8	VTO_0034001	0.0941878407571
VTO_0035069	9	VTO_0004854	0.0672517333263
VTO_0035069	10	VTO_9014226	0.0686425276108
VTO_0035069	11	VTO_9014226	0.0678952068571
VTO_0035069	12	VTO_9014226	0.0674925156567
VTO_0035069	13	VTO_9014226	0.0673675687407
VTO_0035069	14	VTO_9014226	0.0670195470214
VTO_0035069	15	VTO_9014226	0.0673877771769
VTO_9009112	0	VTO_9009112	1.0
VTO_9009112	1	VTO_9009112	0.39497029567
VTO_9009112	2	VTO_9009112	0.192632945594
VTO_9009112	3	VTO_9020174	0.199242949478
VTO_9009112	4	VTO_9009112	0.153757258286
VTO_9009112	5	VTO_0022388	0.13798109297
VTO_9009112	6	VTO_0056370	0.101122329941
VTO_9009112	7	VTO_9006311	0.0793713479161
VTO_9009112	8	VTO_0056370	0.0928818380207
VTO_9009112	9	VTO_9010140	0.083623478187
VTO_9009112	10	VTO_0008068	0.0765398486166
VTO_9009112	11	VTO_0008068	0.077702604394
VTO_9009112	12	VTO_0008068	0.0842432235217
VTO_9009112	13	VTO_0037714	0.0753470438827
VTO_9009112	14	VTO_0034967	0.0723503678059
VTO_9009112	15	VTO_0034967	0.0736725623362
VTO_9009112	16	VTO_0034967	0.0736916231098
VTO_9031854	0	VTO_9031854	1.0
VTO_9031854	1	VTO_9031854	0.277124280557
VTO_9031854	2	VTO_9007597	0.196141600398
VTO_9031854	3	VTO_9031854	0.162406877744
VTO_9031854	4	VTO_0080318	0.133792283501
VTO_9031854	5	VTO_0009140	0.21286328956
VTO_9031854	6	VTO_0008068	0.0837428902756
VTO_9031854	7	VTO_9027571	0.102754676319
VTO_9031854	8	VTO_9032475	0.118400652795
VTO_9031854	9	VTO_0035685	0.0695621407984
VTO_9031854	10	VTO_0034967	0.0583603376105
VTO_9031854	11	VTO_0034967	0.0542646546933
VTO_9031854	12	VTO_0058035	0.052164945357
VTO_9031854	13	VTO_0034967	0.0462361507214
VTO_9031854	14	VTO_0034967	0.0549617629171
VTO_9031854	15	VTO_0034967	0.0460525038663
VTO_9031854	16	VTO_0058035	0.0430973895582
VTO_9031854	17	VTO_0034967	0.046299427638
VTO_9031854	18	VTO_0034967	0.046358966515
VTO_9031854	19	VTO_0034967	0.0461060937291
VTO_9031854	20	VTO_0034967	0.0453019713935
