QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	0.153156102672
VTO_0002654	2	VTO_0002654	0.141449120938
VTO_0002654	3	VTO_0002654	0.121379711832
VTO_0002654	4	VTO_0038732	0.0718216318786
VTO_0002654	5	VTO_0000006	0.0404799221748
VTO_0002654	6	VTO_0035826	0.0263826949527
VTO_0002654	7	VTO_0003413	0.0173135995532
VTO_0002654	8	VTO_0059211	0.0166804521643
VTO_0002654	9	VTO_0059208	0.00863679627736
VTO_0002654	10	VTO_0008072	0.00953947368421
VTO_0002654	11	VTO_0059208	0.0106564291494
VTO_0002654	12	VTO_0059208	0.00814343632042
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	0.206667628806
VTO_0047199	2	VTO_9006276	0.104240731336
VTO_0047199	3	VTO_0035450	0.0703313444205
VTO_0047199	4	VTO_0003945	0.106487695749
VTO_0047199	5	VTO_9012325	0.0692582362056
VTO_0047199	6	VTO_0052926	0.0646998519194
VTO_0047199	7	VTO_0035030	0.0372983870968
VTO_0047199	8	VTO_0060565	0.0449350937535
VTO_0047199	9	VTO_0081592	0.0604855765164
VTO_0047199	10	VTO_0081592	0.0723182000804
VTO_0047199	11	VTO_0081592	0.0580734243015
VTO_0047199	12	VTO_0081592	0.0518266164106
VTO_0047199	13	VTO_0081592	0.0537513155916
VTO_0047199	14	VTO_0081592	0.0538971807629
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	0.144055539485
VTO_9001676	2	VTO_9012325	0.0781716320226
VTO_9001676	3	VTO_9008244	0.0827652031633
VTO_9001676	4	VTO_0036807	0.0619017230377
VTO_9001676	5	VTO_0036807	0.0814860113133
VTO_9001676	6	VTO_0036807	0.0550894646967
VTO_9001676	7	VTO_0004665	0.0792665884063
VTO_9001676	8	VTO_0059211	0.0452118074894
VTO_9001676	9	VTO_0004665	0.0647393130714
VTO_9001676	10	VTO_0004665	0.0698982904133
VTO_9001676	11	VTO_0004665	0.0788066593754
VTO_9001676	12	VTO_0004665	0.0754530669145
VTO_9001676	13	VTO_0004665	0.0776949885831
VTO_9001676	14	VTO_0004665	0.0586383667596
VTO_9001676	15	VTO_0004665	0.0666228912011
VTO_9001676	16	VTO_0004665	0.0665122265122
VTO_9001676	17	VTO_0004665	0.0673688601523
VTO_9001676	18	VTO_0004665	0.0670124481328
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	0.420476251114
VTO_9003361	2	VTO_0080000	0.090799379346
VTO_9003361	3	VTO_0004665	0.0927945533632
VTO_9003361	4	VTO_0040339	0.0739746805904
VTO_9003361	5	VTO_9010160	0.122139534884
VTO_9003361	6	VTO_0040859	0.0800512543836
VTO_9003361	7	VTO_0037256	0.111058036781
VTO_9003361	8	VTO_0000006	0.0605747497578
VTO_9003361	9	VTO_0004665	0.168445851432
VTO_9003361	10	VTO_0004665	0.184480234261
VTO_9003361	11	VTO_0004665	0.151411976767
VTO_9003361	12	VTO_0004665	0.142582007952
VTO_9003361	13	VTO_0004665	0.146398140976
VTO_9003361	14	VTO_0004665	0.147005444646
VTO_9003361	15	VTO_0004665	0.148828663298
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	0.145932141554
VTO_0011622	2	VTO_0011622	0.0747305140962
VTO_0011622	3	VTO_0003944	0.0544163088406
VTO_0011622	4	VTO_9029608	0.0608783062135
VTO_0011622	5	VTO_0081592	0.052265607091
VTO_0011622	6	VTO_0038105	0.0498388581952
VTO_0011622	7	VTO_9020172	0.0462481426449
VTO_0011622	8	VTO_9030372	0.0679829954678
VTO_0011622	9	VTO_0047292	0.0159645232816
VTO_0011622	10	VTO_0059208	0.010078823842
VTO_0011622	11	VTO_0059208	0.0111508195595
VTO_0011622	12	VTO_0059208	0.0109497779296
VTO_0011622	13	VTO_0059208	0.0116784309685
VTO_0011622	14	VTO_0059208	0.0108134971638
