QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	0.852910602911
VTO_0002654	2	VTO_0002654	0.779669762642
VTO_0002654	3	VTO_0002654	0.702689117869
VTO_0002654	4	VTO_0002654	0.543463980731
VTO_0002654	5	VTO_0002654	0.37759415834
VTO_0002654	6	VTO_9001676	0.302659956866
VTO_0002654	7	VTO_9001676	0.341878809609
VTO_0002654	8	VTO_9001676	0.301742160279
VTO_0002654	9	VTO_9001676	0.290406673618
VTO_0002654	10	VTO_9001676	0.28825254442
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	0.983349041784
VTO_0047199	2	VTO_0047199	0.815876515987
VTO_0047199	3	VTO_0047199	0.588395735185
VTO_0047199	4	VTO_0047199	0.540645752233
VTO_0047199	5	VTO_0047199	0.456976985279
VTO_0047199	6	VTO_0047199	0.425856266086
VTO_0047199	7	VTO_0047199	0.375665259681
VTO_0047199	8	VTO_0011622	0.315889137545
VTO_0047199	9	VTO_0011622	0.315063771113
VTO_0047199	10	VTO_0011622	0.327919148168
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	0.94928538497
VTO_9001676	2	VTO_9001676	0.561313379495
VTO_9001676	3	VTO_9001676	0.493663246832
VTO_9001676	4	VTO_9001676	0.484647802529
VTO_9001676	5	VTO_9001676	0.365165165165
VTO_9001676	6	VTO_9001676	0.326035502959
VTO_9001676	7	VTO_9001676	0.299812030075
VTO_9001676	8	VTO_0052508	0.262512768131
VTO_9001676	9	VTO_0052508	0.276128507523
VTO_9001676	10	VTO_9030302	0.272345530894
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	0.817934782609
VTO_9003361	2	VTO_9003361	0.749061507364
VTO_9003361	3	VTO_9003361	0.473578403217
VTO_9003361	4	VTO_9003361	0.443598420756
VTO_9003361	5	VTO_9003361	0.314628400086
VTO_9003361	6	VTO_9003361	0.287725108673
VTO_9003361	7	VTO_0010456	0.254485776805
VTO_9003361	8	VTO_0010456	0.25496319429
VTO_9003361	9	VTO_0012330	0.24972198196
VTO_9003361	10	VTO_0010456	0.246758954076
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	0.774829416224
VTO_0011622	2	VTO_0011622	0.691165366222
VTO_0011622	3	VTO_0011622	0.535083848191
VTO_0011622	4	VTO_0011622	0.485942906574
VTO_0011622	5	VTO_0011622	0.356400665004
VTO_0011622	6	VTO_0011622	0.353026533997
VTO_0011622	7	VTO_0034915	0.32885021097
VTO_0011622	8	VTO_0034915	0.315456615229
VTO_0011622	9	VTO_0034915	0.356390549388
VTO_0011622	10	VTO_0034915	0.317740731525
