QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_9011844	0.111111111111
VTO_0002654	1	VTO_9004857	0.111111111111
VTO_0002654	2	VTO_9004857	0.111111111111
VTO_0002654	3	VTO_0083133	0.111111111111
VTO_0002654	4	VTO_0083133	0.111111111111
VTO_0002654	5	VTO_0059196	0.118055555555
VTO_0002654	6	VTO_0060108	0.111111111111
VTO_0002654	7	VTO_0083133	0.118055555555
VTO_0002654	8	VTO_0083133	0.111111111111
VTO_0002654	9	VTO_0083133	0.111111111111
VTO_0002654	10	VTO_0083133	0.111111111111
VTO_0047199	0	VTO_0059196	0.1125
VTO_0047199	1	VTO_0059196	0.125
VTO_0047199	2	VTO_0059196	0.133928571429
VTO_0047199	3	VTO_0059196	0.125
VTO_0047199	4	VTO_9022875	0.112847222222
VTO_0047199	5	VTO_0083133	0.1
VTO_0047199	6	VTO_0038052	0.105555555556
VTO_0047199	7	VTO_0038052	0.105555555556
VTO_0047199	8	VTO_9022875	0.112847222222
VTO_0047199	9	VTO_9022875	0.112847222222
VTO_0047199	10	VTO_9011844	0.125
VTO_9001676	0	VTO_9011844	0.117647058824
VTO_9001676	1	VTO_9011844	0.121323529412
VTO_9001676	2	VTO_9011844	0.114379084968
VTO_9001676	3	VTO_9011844	0.111111111111
VTO_9001676	4	VTO_9011844	0.111111111111
VTO_9001676	5	VTO_9011844	0.117647058824
VTO_9001676	6	VTO_9011844	0.117647058824
VTO_9001676	7	VTO_9022808	0.111111111111
VTO_9001676	8	VTO_0053270	0.111111111111
VTO_9001676	9	VTO_0053270	0.111111111111
VTO_9001676	10	VTO_9011844	0.111111111111
VTO_9003361	0	VTO_0083133	0.1
VTO_9003361	1	VTO_0083133	0.1
VTO_9003361	2	VTO_9022808	0.111111111111
VTO_9003361	3	VTO_9022808	0.111111111111
VTO_9003361	4	VTO_9022808	0.111111111111
VTO_9003361	5	VTO_9022808	0.111111111111
VTO_9003361	6	VTO_9022808	0.111111111111
VTO_9003361	7	VTO_0083133	0.111111111111
VTO_9003361	8	VTO_0059196	0.118055555555
VTO_9003361	9	VTO_9011844	0.125
VTO_9003361	10	VTO_0039240	0.125
VTO_0011622	0	VTO_0059196	0.125
VTO_0011622	1	VTO_0059196	0.125
VTO_0011622	2	VTO_9011844	0.125
VTO_0011622	3	VTO_9011844	0.125
VTO_0011622	4	VTO_9011844	0.125
VTO_0011622	5	VTO_9011844	0.118055555555
VTO_0011622	6	VTO_9011844	0.118055555555
VTO_0011622	7	VTO_9011844	0.125
VTO_0011622	8	VTO_9016465	0.125
VTO_0011622	9	VTO_9016465	0.1125
VTO_0011622	10	VTO_9004857	0.111111111111
