QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0002654	1.0
VTO_0002654	4	VTO_0002654	1.0
VTO_0002654	5	VTO_0002654	0.583333333334
VTO_0002654	6	VTO_0036816	0.333333333333
VTO_0002654	7	VTO_0034991	0.333333333333
VTO_0002654	8	VTO_0034991	0.333333333333
VTO_0002654	9	VTO_0034991	0.333333333333
VTO_0002654	10	VTO_0034991	0.333333333333
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0047199	1.0
VTO_0047199	4	VTO_0047199	1.0
VTO_0047199	5	VTO_0047199	0.6
VTO_0047199	6	VTO_0036816	0.333333333333
VTO_0047199	7	VTO_0036816	0.333333333333
VTO_0047199	8	VTO_0037868	0.333333333333
VTO_0047199	9	VTO_0037868	0.333333333333
VTO_0047199	10	VTO_0037868	0.333333333333
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_9001676	0.97
VTO_9001676	4	VTO_9001676	0.805
VTO_9001676	5	VTO_9001676	0.501666666667
VTO_9001676	6	VTO_0035614	0.333333333333
VTO_9001676	7	VTO_0035614	0.333333333333
VTO_9001676	8	VTO_0035614	0.333333333333
VTO_9001676	9	VTO_0037868	0.333333333333
VTO_9001676	10	VTO_0037868	0.333333333333
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_9003361	0.966666666667
VTO_9003361	4	VTO_9003361	0.811666666667
VTO_9003361	5	VTO_9003361	0.4075
VTO_9003361	6	VTO_9030591	0.354901960784
VTO_9003361	7	VTO_0037868	0.333333333333
VTO_9003361	8	VTO_0037868	0.333333333333
VTO_9003361	9	VTO_0037868	0.333333333333
VTO_9003361	10	VTO_0037868	0.333333333333
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0011622	1.0
VTO_0011622	4	VTO_0011622	0.895
VTO_0011622	5	VTO_0011622	0.478333333334
VTO_0011622	6	VTO_0035614	0.333333333333
VTO_0011622	7	VTO_0035614	0.333333333333
VTO_0011622	8	VTO_0036816	0.333333333333
VTO_0011622	9	VTO_0036816	0.333333333333
VTO_0011622	10	VTO_0036816	0.333333333333
