QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0052581	0	VTO_0057041	0.263791763791
VTO_0052581	1	VTO_0057041	0.263791763791
VTO_0052581	2	VTO_0057041	0.256313131313
VTO_0052581	3	VTO_0004653	0.248762376237
VTO_0052581	4	VTO_0004653	0.247418290216
VTO_0052581	5	VTO_0004653	0.248762376237
VTO_0052581	6	VTO_0004653	0.25
VTO_0052581	7	VTO_0004653	0.248762376237
VTO_0052581	8	VTO_0004653	0.248762376237
VTO_0052581	9	VTO_0004653	0.248762376237
VTO_0052581	10	VTO_0004653	0.242500742501
VTO_0052581	11	VTO_9011844	0.242448979592
VTO_0052581	12	VTO_9011844	0.242448979592
VTO_0052581	13	VTO_0004653	0.238374125875
VTO_0052581	14	VTO_0007235	0.244474626497
VTO_0052581	15	VTO_0007235	0.250032287227
VTO_0052581	16	VTO_0007235	0.255848546315
VTO_0052581	17	VTO_0007235	0.255848546315
VTO_0052581	18	VTO_0007235	0.262530120482
VTO_0052581	19	VTO_0007235	0.259411764706
VTO_0052581	20	VTO_0007235	0.265594636611
VTO_0037490	0	VTO_0007235	0.268874643875
VTO_0037490	1	VTO_0007235	0.267592592593
VTO_0037490	2	VTO_9011844	0.25621190811
VTO_0037490	3	VTO_9026279	0.269088669951
VTO_0037490	4	VTO_9026279	0.269088669951
VTO_0037490	5	VTO_9026279	0.266904761905
VTO_0037490	6	VTO_9026279	0.275366300367
VTO_0037490	7	VTO_9026279	0.275366300367
VTO_0037490	8	VTO_9026279	0.275366300367
VTO_0037490	9	VTO_9026279	0.266904761905
VTO_0037490	10	VTO_9026279	0.266904761905
VTO_0037490	11	VTO_9026279	0.274404761905
VTO_0037490	12	VTO_9026279	0.274404761905
VTO_0037490	13	VTO_0038052	0.259745127436
VTO_0037490	14	VTO_0080344	0.266194331984
VTO_0037490	15	VTO_0080344	0.262348178137
VTO_0037490	16	VTO_9026279	0.264023405973
VTO_0037490	17	VTO_9011844	0.257081038552
VTO_0037490	18	VTO_9011844	0.255032907472
VTO_0037490	19	VTO_0007235	0.246153846153
VTO_0037490	20	VTO_9026279	0.255118644068
VTO_0080000	0	VTO_0038052	0.290382081687
VTO_0080000	1	VTO_0038052	0.287784679089
VTO_0080000	2	VTO_0038052	0.283633841886
VTO_0080000	3	VTO_0038052	0.283633841886
VTO_0080000	4	VTO_0038052	0.283633841886
VTO_0080000	5	VTO_0038052	0.267150325402
VTO_0080000	6	VTO_0038052	0.283633841886
VTO_0080000	7	VTO_9026279	0.255929919137
VTO_0080000	8	VTO_0038052	0.267150325402
VTO_0080000	9	VTO_0057041	0.261691594692
VTO_0080000	10	VTO_0057041	0.269437285223
VTO_0080000	11	VTO_0007235	0.256928543229
VTO_0080000	12	VTO_9011844	0.269377652051
VTO_0080000	13	VTO_0007235	0.249374627755
VTO_0080000	14	VTO_0060503	0.267742853079
VTO_0080000	15	VTO_0007235	0.243746091307
VTO_0080000	16	VTO_0007235	0.248038176034
VTO_0080000	17	VTO_0007235	0.235616010007
VTO_0080000	18	VTO_0007235	0.235772357723
VTO_0080000	19	VTO_0007235	0.235772357723
VTO_0080000	20	VTO_0007235	0.248038176034
VTO_0003943	0	VTO_0038052	0.308262910798
VTO_0003943	1	VTO_0007235	0.301847722204
VTO_0003943	2	VTO_0004653	0.298648648648
VTO_0003943	3	VTO_0007235	0.296341463414
VTO_0003943	4	VTO_0038052	0.308262910798
VTO_0003943	5	VTO_0007235	0.296341463414
VTO_0003943	6	VTO_9011844	0.293016370602
VTO_0003943	7	VTO_9011844	0.27801724138
VTO_0003943	8	VTO_9011844	0.293016370602
VTO_0003943	9	VTO_9011844	0.293016370602
VTO_0003943	10	VTO_9011844	0.293016370602
VTO_0003943	11	VTO_9011844	0.292297979798
VTO_0003943	12	VTO_9011844	0.292297979798
VTO_0003943	13	VTO_9011844	0.290404040404
VTO_0003943	14	VTO_0060503	0.290178571429
VTO_0003943	15	VTO_0060503	0.290178571429
VTO_0003943	16	VTO_0060503	0.290178571429
VTO_0003943	17	VTO_0060503	0.296927727784
VTO_0003943	18	VTO_0057041	0.279513888889
VTO_0003943	19	VTO_0060503	0.290178571429
VTO_0003943	20	VTO_0060503	0.296927727784
VTO_9007203	0	VTO_9026279	0.30498049805
VTO_9007203	1	VTO_0057041	0.284902597403
VTO_9007203	2	VTO_0060503	0.29123343527
VTO_9007203	3	VTO_0057041	0.28743545611
VTO_9007203	4	VTO_0057041	0.28743545611
VTO_9007203	5	VTO_0057041	0.28743545611
VTO_9007203	6	VTO_0057041	0.284902597403
VTO_9007203	7	VTO_0057041	0.285714285714
VTO_9007203	8	VTO_0057041	0.289739603575
VTO_9007203	9	VTO_0057041	0.28743545611
VTO_9007203	10	VTO_0057041	0.288018433179
VTO_9007203	11	VTO_0057041	0.285714285714
VTO_9007203	12	VTO_0038052	0.29525862069
VTO_9007203	13	VTO_0038052	0.298909823439
VTO_9007203	14	VTO_0038052	0.298909823439
VTO_9007203	15	VTO_0038052	0.284722222222
VTO_9007203	16	VTO_0038052	0.284722222222
VTO_9007203	17	VTO_9011844	0.277749832328
VTO_9007203	18	VTO_0057041	0.277529761905
VTO_9007203	19	VTO_9011844	0.277749832328
VTO_9007203	20	VTO_0057041	0.27038425492
