QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0034991	0.809967141293
VTO_0002654	4	VTO_0034991	0.809967141293
VTO_0002654	5	VTO_0034991	0.809967141293
VTO_0002654	6	VTO_0034991	0.760579937304
VTO_0002654	7	VTO_0041374	0.73754789272
VTO_0002654	8	VTO_0034991	0.70157859382
VTO_0002654	9	VTO_0034991	0.660714285714
VTO_0002654	10	VTO_0034991	0.660714285714
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0034991	0.818181818182
VTO_0047199	4	VTO_0034991	0.832975986278
VTO_0047199	5	VTO_0034991	0.832975986278
VTO_0047199	6	VTO_0034991	0.877715837622
VTO_0047199	7	VTO_0034991	0.886089043363
VTO_0047199	8	VTO_0034991	0.886089043363
VTO_0047199	9	VTO_0034991	0.901147098516
VTO_0047199	10	VTO_0034991	0.901147098516
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_0037519	0.745833333333
VTO_9001676	4	VTO_0001465	0.751086956522
VTO_9001676	5	VTO_0001465	0.751086956522
VTO_9001676	6	VTO_0037519	0.751086956522
VTO_9001676	7	VTO_0034991	0.807806324111
VTO_9001676	8	VTO_0034991	0.818181818182
VTO_9001676	9	VTO_0034991	0.836462450593
VTO_9001676	10	VTO_0034991	0.861714975845
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_0034991	0.823636363636
VTO_9003361	4	VTO_0034991	0.823636363636
VTO_9003361	5	VTO_0034991	0.853214285714
VTO_9003361	6	VTO_0034991	0.894642857143
VTO_9003361	7	VTO_0034991	0.894642857143
VTO_9003361	8	VTO_0034991	0.853214285714
VTO_9003361	9	VTO_0034991	0.826071428572
VTO_9003361	10	VTO_0037519	0.876532887402
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0037868	0.818181818182
VTO_0011622	4	VTO_0034991	0.809659090909
VTO_0011622	5	VTO_0034991	0.809659090909
VTO_0011622	6	VTO_0034991	0.809659090909
VTO_0011622	7	VTO_0002210	0.818181818182
VTO_0011622	8	VTO_0002210	0.818181818182
VTO_0011622	9	VTO_0002210	0.818181818182
VTO_0011622	10	VTO_0037519	0.788569424965
