QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0034991	0.725420778535
VTO_0002654	4	VTO_0034991	0.725420778535
VTO_0002654	5	VTO_0034991	0.680528108586
VTO_0002654	6	VTO_0034991	0.579363820059
VTO_0002654	7	VTO_0036816	0.493916693111
VTO_0002654	8	VTO_0036816	0.463944259874
VTO_0002654	9	VTO_0036816	0.463944259874
VTO_0002654	10	VTO_0036816	0.463944259874
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0038680	0.753165450617
VTO_0047199	4	VTO_0034991	0.738422089497
VTO_0047199	5	VTO_0034991	0.738422089497
VTO_0047199	6	VTO_0034991	0.75481057387
VTO_0047199	7	VTO_0034991	0.75481057387
VTO_0047199	8	VTO_0034991	0.75481057387
VTO_0047199	9	VTO_0034991	0.866348136823
VTO_0047199	10	VTO_0034991	0.866348136823
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_0034991	0.707740520856
VTO_9001676	4	VTO_0034991	0.707740520856
VTO_9001676	5	VTO_0034991	0.707740520856
VTO_9001676	6	VTO_0034991	0.734678613806
VTO_9001676	7	VTO_0034991	0.734678613806
VTO_9001676	8	VTO_0034991	0.734678613806
VTO_9001676	9	VTO_0034991	0.753657529519
VTO_9001676	10	VTO_0034991	0.745996310456
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_0034991	0.803718168683
VTO_9003361	4	VTO_0034991	0.803718168683
VTO_9003361	5	VTO_0034991	0.747648923524
VTO_9003361	6	VTO_0034991	0.767613738536
VTO_9003361	7	VTO_0034991	0.877788721426
VTO_9003361	8	VTO_0034991	0.807575434481
VTO_9003361	9	VTO_0001465	0.655272336691
VTO_9003361	10	VTO_0001465	0.655272336691
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0042306	0.58836996337
VTO_0011622	4	VTO_0001465	0.720836304156
VTO_0011622	5	VTO_0001465	0.686505863632
VTO_0011622	6	VTO_0001465	0.686505863632
VTO_0011622	7	VTO_0001465	0.661817621055
VTO_0011622	8	VTO_0037519	0.652743726068
VTO_0011622	9	VTO_0037519	0.654491405698
VTO_0011622	10	VTO_0001466	0.597826086956
