QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0002654	1.0
VTO_0002654	4	VTO_0002654	1.0
VTO_0002654	5	VTO_0002654	0.687295948568
VTO_0002654	6	VTO_9020294	0.498276869469
VTO_0002654	7	VTO_9020294	0.492218008147
VTO_0002654	8	VTO_9020294	0.479161393868
VTO_0002654	9	VTO_0034991	0.380115818097
VTO_0002654	10	VTO_0034991	0.380555089665
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0047199	1.0
VTO_0047199	4	VTO_0047199	1.0
VTO_0047199	5	VTO_0047199	0.833007438466
VTO_0047199	6	VTO_0034991	0.552331210754
VTO_0047199	7	VTO_0034991	0.551627288383
VTO_0047199	8	VTO_0034991	0.5604168015
VTO_0047199	9	VTO_0034991	0.570715366472
VTO_0047199	10	VTO_0034991	0.590030414555
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_9001676	1.0
VTO_9001676	4	VTO_9001676	1.0
VTO_9001676	5	VTO_9001676	0.893805309735
VTO_9001676	6	VTO_9001676	0.674839701129
VTO_9001676	7	VTO_0034991	0.504965068442
VTO_9001676	8	VTO_0037519	0.530211389605
VTO_9001676	9	VTO_0034991	0.514449347682
VTO_9001676	10	VTO_0034991	0.509181579043
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_9003361	1.0
VTO_9003361	4	VTO_9003361	1.0
VTO_9003361	5	VTO_9003361	0.796121404867
VTO_9003361	6	VTO_0034991	0.540630968368
VTO_9003361	7	VTO_0034991	0.567869095842
VTO_9003361	8	VTO_0034991	0.55537895248
VTO_9003361	9	VTO_0034991	0.545817216807
VTO_9003361	10	VTO_0034991	0.569466208564
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0011622	1.0
VTO_0011622	4	VTO_0011622	1.0
VTO_0011622	5	VTO_0011622	0.656838333878
VTO_0011622	6	VTO_0011622	0.550643643612
VTO_0011622	7	VTO_0000008	0.484683647191
VTO_0011622	8	VTO_9020294	0.491225792361
VTO_0011622	9	VTO_0037519	0.503992419922
VTO_0011622	10	VTO_9020294	0.489723870341
