QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0002654	1.0
VTO_0002654	4	VTO_0002654	1.0
VTO_0002654	5	VTO_0002654	1.0
VTO_0002654	6	VTO_0002654	1.0
VTO_0002654	7	VTO_0002654	1.0
VTO_0002654	8	VTO_0002654	0.868013468014
VTO_0002654	9	VTO_0040339	0.725327383324
VTO_0002654	10	VTO_0064801	0.764233363985
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0047199	1.0
VTO_0047199	4	VTO_0047199	1.0
VTO_0047199	5	VTO_0047199	1.0
VTO_0047199	6	VTO_0047199	1.0
VTO_0047199	7	VTO_0047199	1.0
VTO_0047199	8	VTO_0034991	0.796610169491
VTO_0047199	9	VTO_0034991	0.798808522568
VTO_0047199	10	VTO_9017484	0.885069316648
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_9001676	1.0
VTO_9001676	4	VTO_9001676	1.0
VTO_9001676	5	VTO_9001676	1.0
VTO_9001676	6	VTO_9001676	1.0
VTO_9001676	7	VTO_9001676	1.0
VTO_9001676	8	VTO_0053907	0.863427307012
VTO_9001676	9	VTO_0036818	0.869997076155
VTO_9001676	10	VTO_0035660	0.877342747112
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_9003361	1.0
VTO_9003361	4	VTO_9003361	1.0
VTO_9003361	5	VTO_9003361	1.0
VTO_9003361	6	VTO_9003361	1.0
VTO_9003361	7	VTO_9003361	1.0
VTO_9003361	8	VTO_0053270	0.863002114165
VTO_9003361	9	VTO_0035653	0.868964096424
VTO_9003361	10	VTO_0053907	0.870639296188
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0011622	1.0
VTO_0011622	4	VTO_0011622	1.0
VTO_0011622	5	VTO_0011622	1.0
VTO_0011622	6	VTO_0011622	1.0
VTO_0011622	7	VTO_0011622	1.0
VTO_0011622	8	VTO_9007597	0.879438303632
VTO_0011622	9	VTO_9007597	0.879438303632
VTO_0011622	10	VTO_9007597	0.879438303632
