QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_9026279	0.459772544709
VTO_0002654	1	VTO_9026279	0.465156530581
VTO_0002654	2	VTO_9026279	0.459772544709
VTO_0002654	3	VTO_9026279	0.453535727508
VTO_0002654	4	VTO_9026279	0.448430493274
VTO_0002654	5	VTO_9026279	0.448430493274
VTO_0002654	6	VTO_9026279	0.443513492251
VTO_0002654	7	VTO_9026279	0.447429532351
VTO_0002654	8	VTO_9026279	0.447429532351
VTO_0002654	9	VTO_9026279	0.447429532351
VTO_0002654	10	VTO_9026279	0.443478602895
VTO_0047199	0	VTO_9026279	0.447429532351
VTO_0047199	1	VTO_9026279	0.447429532351
VTO_0047199	2	VTO_9026279	0.444453223767
VTO_0047199	3	VTO_9026279	0.444453223767
VTO_0047199	4	VTO_9026279	0.446428571429
VTO_0047199	5	VTO_9026279	0.446428571429
VTO_0047199	6	VTO_9026279	0.447429532351
VTO_0047199	7	VTO_9026279	0.447429532351
VTO_0047199	8	VTO_9026279	0.447429532351
VTO_0047199	9	VTO_9026279	0.453535727508
VTO_0047199	10	VTO_9026279	0.453535727508
VTO_9001676	0	VTO_9026279	0.459772544709
VTO_9001676	1	VTO_9026279	0.45458302339
VTO_9001676	2	VTO_9026279	0.447447447447
VTO_9001676	3	VTO_9026279	0.459772544709
VTO_9001676	4	VTO_9026279	0.45458302339
VTO_9001676	5	VTO_9026279	0.451580020387
VTO_9001676	6	VTO_9026279	0.460829493088
VTO_9001676	7	VTO_9026279	0.460829493088
VTO_9001676	8	VTO_9026279	0.462972886079
VTO_9001676	9	VTO_9026279	0.457687473816
VTO_9001676	10	VTO_9026279	0.457687473816
VTO_9003361	0	VTO_9026279	0.433857852733
VTO_9003361	1	VTO_9026279	0.437638856967
VTO_9003361	2	VTO_9026279	0.437638856967
VTO_9003361	3	VTO_9026279	0.434790827803
VTO_9003361	4	VTO_9026279	0.437638856967
VTO_9003361	5	VTO_9026279	0.44545418469
VTO_9003361	6	VTO_0040904	0.452497952498
VTO_9003361	7	VTO_9026279	0.448430493274
VTO_9003361	8	VTO_0040904	0.442789968652
VTO_9003361	9	VTO_9026279	0.444453223767
VTO_9003361	10	VTO_9026279	0.444453223767
VTO_0011622	0	VTO_9026279	0.434790827803
VTO_0011622	1	VTO_9026279	0.442477876106
VTO_0011622	2	VTO_0040904	0.443565836579
VTO_0011622	3	VTO_0040904	0.442555857991
VTO_0011622	4	VTO_9026279	0.440537183667
VTO_0011622	5	VTO_9026279	0.440537183667
VTO_0011622	6	VTO_9026279	0.441503255233
VTO_0011622	7	VTO_0040904	0.442555857991
VTO_0011622	8	VTO_0040904	0.446437468859
VTO_0011622	9	VTO_9026279	0.449440471862
VTO_0011622	10	VTO_9026279	0.449440471862
