QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0002654	1.0
VTO_0002654	4	VTO_0002654	1.0
VTO_0002654	5	VTO_0034991	0.795454545455
VTO_0002654	6	VTO_0034991	0.746434937612
VTO_0002654	7	VTO_0034991	0.746434937612
VTO_0002654	8	VTO_0034991	0.757575757576
VTO_0002654	9	VTO_0034991	0.757575757576
VTO_0002654	10	VTO_0034991	0.757575757576
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0047199	1.0
VTO_0047199	4	VTO_0047199	1.0
VTO_0047199	5	VTO_0047199	0.859712230216
VTO_0047199	6	VTO_0034991	0.77519379845
VTO_0047199	7	VTO_0034991	0.790822705677
VTO_0047199	8	VTO_0034991	0.806451612903
VTO_0047199	9	VTO_0034991	0.853676256902
VTO_0047199	10	VTO_0034991	0.853676256902
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_9001676	1.0
VTO_9001676	4	VTO_9001676	1.0
VTO_9001676	5	VTO_9001676	0.752525252525
VTO_9001676	6	VTO_0034991	0.779165656076
VTO_9001676	7	VTO_0035660	0.738500109004
VTO_9001676	8	VTO_0037519	0.786357468854
VTO_9001676	9	VTO_0034991	0.806661462399
VTO_9001676	10	VTO_0034991	0.806661462399
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_9003361	1.0
VTO_9003361	4	VTO_9003361	1.0
VTO_9003361	5	VTO_0034991	0.766294773928
VTO_9003361	6	VTO_9030591	0.798346055979
VTO_9003361	7	VTO_0034991	0.772212283841
VTO_9003361	8	VTO_0034991	0.772212283841
VTO_9003361	9	VTO_0034991	0.772212283841
VTO_9003361	10	VTO_0034991	0.804263565892
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0011622	1.0
VTO_0011622	4	VTO_0011622	1.0
VTO_0011622	5	VTO_0034991	0.772212283841
VTO_0011622	6	VTO_0034991	0.772212283841
VTO_0011622	7	VTO_0034991	0.772212283841
VTO_0011622	8	VTO_0034991	0.772212283841
VTO_0011622	9	VTO_0034991	0.811965811966
VTO_0011622	10	VTO_0034991	0.787841191067
