QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0002654	1.0
VTO_0002654	4	VTO_0002654	1.0
VTO_0002654	5	VTO_0002654	0.784127599122
VTO_0002654	6	VTO_0034991	0.606862328619
VTO_0002654	7	VTO_0034991	0.606862328619
VTO_0002654	8	VTO_0034991	0.610269360269
VTO_0002654	9	VTO_0034991	0.610269360269
VTO_0002654	10	VTO_0034991	0.609202625332
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0047199	1.0
VTO_0047199	4	VTO_0047199	1.0
VTO_0047199	5	VTO_0047199	0.825204952317
VTO_0047199	6	VTO_0034991	0.62569213732
VTO_0047199	7	VTO_0034991	0.634645802599
VTO_0047199	8	VTO_0034991	0.644771700171
VTO_0047199	9	VTO_0034991	0.678094409858
VTO_0047199	10	VTO_0034991	0.678094409858
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_9001676	1.0
VTO_9001676	4	VTO_9001676	1.0
VTO_9001676	5	VTO_9001676	0.770771296783
VTO_9001676	6	VTO_0034991	0.633485267062
VTO_9001676	7	VTO_0035660	0.615555473221
VTO_9001676	8	VTO_0037519	0.641934953333
VTO_9001676	9	VTO_0034991	0.643715346584
VTO_9001676	10	VTO_0034991	0.643715346584
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_9003361	1.0
VTO_9003361	4	VTO_9003361	1.0
VTO_9003361	5	VTO_9003361	0.73753103137
VTO_9003361	6	VTO_9030591	0.646697780465
VTO_9003361	7	VTO_0034991	0.62765203564
VTO_9003361	8	VTO_0034991	0.620847925958
VTO_9003361	9	VTO_0034991	0.619751001733
VTO_9003361	10	VTO_0034991	0.634689922481
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0011622	1.0
VTO_0011622	4	VTO_0011622	1.0
VTO_0011622	5	VTO_0011622	0.759513244588
VTO_0011622	6	VTO_0034991	0.624201380015
VTO_0011622	7	VTO_0034991	0.623072966565
VTO_0011622	8	VTO_0034991	0.620847925958
VTO_0011622	9	VTO_0034991	0.648701352585
VTO_0011622	10	VTO_0034991	0.637823034558
