QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0002654	1.0
VTO_0002654	4	VTO_0002654	1.0
VTO_0002654	5	VTO_0002654	0.735849056604
VTO_0002654	6	VTO_0034991	0.634927033782
VTO_0002654	7	VTO_0034991	0.634927033782
VTO_0002654	8	VTO_0034991	0.649789029536
VTO_0002654	9	VTO_0034991	0.649789029536
VTO_0002654	10	VTO_0002210	0.660245794474
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0047199	1.0
VTO_0047199	4	VTO_0047199	1.0
VTO_0047199	5	VTO_0047199	0.777777777778
VTO_0047199	6	VTO_0034991	0.714431516636
VTO_0047199	7	VTO_0034991	0.714431516636
VTO_0047199	8	VTO_0034991	0.714431516636
VTO_0047199	9	VTO_0034991	0.76882290562
VTO_0047199	10	VTO_0034991	0.76882290562
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_9001676	1.0
VTO_9001676	4	VTO_9001676	1.0
VTO_9001676	5	VTO_9001676	0.752525252525
VTO_9001676	6	VTO_0034955	0.656591750625
VTO_9001676	7	VTO_0036816	0.660073196235
VTO_9001676	8	VTO_0034991	0.697278911565
VTO_9001676	9	VTO_0034991	0.697278911565
VTO_9001676	10	VTO_0034991	0.6638913234
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_9003361	1.0
VTO_9003361	4	VTO_9003361	1.0
VTO_9003361	5	VTO_9003361	0.727272727273
VTO_9003361	6	VTO_9030591	0.776378896883
VTO_9003361	7	VTO_9030591	0.695282700015
VTO_9003361	8	VTO_0034991	0.666933440043
VTO_9003361	9	VTO_0037519	0.662513162513
VTO_9003361	10	VTO_0037519	0.662513162513
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0011622	1.0
VTO_0011622	4	VTO_0011622	1.0
VTO_0011622	5	VTO_0011622	0.745098039215
VTO_0011622	6	VTO_0034991	0.712836123795
VTO_0011622	7	VTO_0034991	0.710506424793
VTO_0011622	8	VTO_0034991	0.710506424793
VTO_0011622	9	VTO_0034991	0.710506424793
VTO_0011622	10	VTO_0034991	0.710506424793
