QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0002654	1.0
VTO_0002654	4	VTO_0002654	1.0
VTO_0002654	5	VTO_0002654	0.767441860465
VTO_0002654	6	VTO_0034991	0.760987153482
VTO_0002654	7	VTO_0034991	0.760987153482
VTO_0002654	8	VTO_0034991	0.769157088123
VTO_0002654	9	VTO_0034991	0.769157088123
VTO_0002654	10	VTO_0034991	0.769157088123
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0047199	1.0
VTO_0047199	4	VTO_0047199	1.0
VTO_0047199	5	VTO_0047199	0.795180722891
VTO_0047199	6	VTO_0034991	0.789978094195
VTO_0047199	7	VTO_0034991	0.789978094195
VTO_0047199	8	VTO_0034991	0.789978094195
VTO_0047199	9	VTO_0034991	0.860136196962
VTO_0047199	10	VTO_0034991	0.860136196962
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_9001676	1.0
VTO_9001676	4	VTO_9001676	1.0
VTO_9001676	5	VTO_0034991	0.719476657746
VTO_9001676	6	VTO_0034991	0.740280145756
VTO_9001676	7	VTO_0034991	0.740280145756
VTO_9001676	8	VTO_0037519	0.783012025196
VTO_9001676	9	VTO_0034991	0.766272940878
VTO_9001676	10	VTO_0034991	0.766272940878
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_9003361	1.0
VTO_9003361	4	VTO_9003361	1.0
VTO_9003361	5	VTO_0034991	0.760941057425
VTO_9003361	6	VTO_9030591	0.820492133925
VTO_9003361	7	VTO_0034991	0.774964463398
VTO_9003361	8	VTO_0034991	0.759786117837
VTO_9003361	9	VTO_0034991	0.759786117837
VTO_9003361	10	VTO_0037519	0.799275895925
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0011622	1.0
VTO_0011622	4	VTO_0011622	1.0
VTO_0011622	5	VTO_0034991	0.727511663053
VTO_0011622	6	VTO_0034991	0.727511663053
VTO_0011622	7	VTO_0034991	0.699748402013
VTO_0011622	8	VTO_0034991	0.699748402013
VTO_0011622	9	VTO_0034991	0.743629908104
VTO_0011622	10	VTO_0002210	0.788932806324
