QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	1.0
VTO_0002654	2	VTO_0002654	1.0
VTO_0002654	3	VTO_0002654	1.0
VTO_0002654	4	VTO_0002654	1.0
VTO_0002654	5	VTO_0034991	0.856327683616
VTO_0002654	6	VTO_0034991	0.818045977012
VTO_0002654	7	VTO_0034991	0.818045977012
VTO_0002654	8	VTO_0034991	0.821111111111
VTO_0002654	9	VTO_0034991	0.821111111111
VTO_0002654	10	VTO_0034991	0.821111111111
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	1.0
VTO_0047199	2	VTO_0047199	1.0
VTO_0047199	3	VTO_0047199	1.0
VTO_0047199	4	VTO_0047199	1.0
VTO_0047199	5	VTO_0047199	0.883233532934
VTO_0047199	6	VTO_0034991	0.829405861795
VTO_0047199	7	VTO_0034991	0.845437236502
VTO_0047199	8	VTO_0034991	0.865015166835
VTO_0047199	9	VTO_0034991	0.87922705314
VTO_0047199	10	VTO_0034991	0.87922705314
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	1.0
VTO_9001676	2	VTO_9001676	1.0
VTO_9001676	3	VTO_9001676	1.0
VTO_9001676	4	VTO_9001676	1.0
VTO_9001676	5	VTO_0034991	0.795426195427
VTO_9001676	6	VTO_0034991	0.847592420007
VTO_9001676	7	VTO_0034991	0.795837548779
VTO_9001676	8	VTO_0037519	0.839424599077
VTO_9001676	9	VTO_0034991	0.862068965518
VTO_9001676	10	VTO_0034991	0.862068965518
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	1.0
VTO_9003361	2	VTO_9003361	1.0
VTO_9003361	3	VTO_9003361	1.0
VTO_9003361	4	VTO_9003361	1.0
VTO_9003361	5	VTO_0036816	0.82218928793
VTO_9003361	6	VTO_9030591	0.843543543544
VTO_9003361	7	VTO_0034991	0.830935960591
VTO_9003361	8	VTO_0034991	0.830935960591
VTO_9003361	9	VTO_0034991	0.830935960591
VTO_9003361	10	VTO_0034991	0.864511278195
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	1.0
VTO_0011622	2	VTO_0011622	1.0
VTO_0011622	3	VTO_0011622	1.0
VTO_0011622	4	VTO_0011622	1.0
VTO_0011622	5	VTO_0034991	0.819509721049
VTO_0011622	6	VTO_0034991	0.819509721049
VTO_0011622	7	VTO_0034991	0.819509721049
VTO_0011622	8	VTO_0034991	0.819509721049
VTO_0011622	9	VTO_0034991	0.84681130835
VTO_0011622	10	VTO_0034991	0.834185045724
