QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0034827	0	VTO_0080344	0.17
VTO_0034827	1	VTO_0003364	0.18
VTO_0034827	2	VTO_0080344	0.17
VTO_0034827	3	VTO_0080344	0.17
VTO_0034827	4	VTO_0007064	0.17
VTO_0034827	5	VTO_0080344	0.17
VTO_0034827	6	VTO_0007064	0.17
VTO_0034827	7	VTO_0007064	0.17
VTO_0034827	8	VTO_0007064	0.17
VTO_0034827	9	VTO_0003364	0.2
VTO_0034827	10	VTO_0003364	0.18
VTO_0034827	11	VTO_0007064	0.17
VTO_0034827	12	VTO_0007064	0.17
VTO_0034827	13	VTO_0007064	0.17
VTO_0034827	14	VTO_0007064	0.17
VTO_0034827	15	VTO_0057041	0.17
VTO_0034827	16	VTO_0003364	0.16
VTO_0034827	17	VTO_0007064	0.17
VTO_0034827	18	VTO_0080344	0.16
VTO_0034827	19	VTO_0057041	0.15
VTO_0034827	20	VTO_0080344	0.15
VTO_0034827	21	VTO_0080344	0.17
VTO_0034827	22	VTO_0080344	0.17
VTO_0034827	23	VTO_0062285	0.15
VTO_0034827	24	VTO_0062285	0.15
VTO_0034827	25	VTO_0080344	0.16
VTO_0034827	26	VTO_0080344	0.15
VTO_0034827	27	VTO_9016465	0.16
VTO_0034827	28	VTO_9016465	0.17
VTO_0034827	29	VTO_9016465	0.17
VTO_0034827	30	VTO_9016465	0.17
VTO_0034827	31	VTO_9016465	0.17
VTO_0034827	32	VTO_9016465	0.17
VTO_0034827	33	VTO_9016465	0.17
VTO_0034827	34	VTO_9016465	0.17
VTO_0034827	35	VTO_9016465	0.17
VTO_0034827	36	VTO_9016465	0.17
VTO_0034827	37	VTO_9016465	0.17
VTO_0034827	38	VTO_9016465	0.17
VTO_0034827	39	VTO_9016465	0.17
VTO_0034827	40	VTO_9016465	0.17
VTO_0038125	0	VTO_9015969	0.175
VTO_0038125	1	VTO_9015969	0.2
VTO_0038125	2	VTO_9015969	0.2
VTO_0038125	3	VTO_9015969	0.2
VTO_0038125	4	VTO_9015969	0.195
VTO_0038125	5	VTO_9015969	0.2
VTO_0038125	6	VTO_9015969	0.2
VTO_0038125	7	VTO_9015969	0.2
VTO_0038125	8	VTO_9015969	0.2
VTO_0038125	9	VTO_9015969	0.2
VTO_0038125	10	VTO_9015969	0.2
VTO_0038125	11	VTO_9015969	0.2
VTO_0038125	12	VTO_9015969	0.2
VTO_0038125	13	VTO_9015969	0.2
VTO_0038125	14	VTO_9015969	0.2
VTO_0038125	15	VTO_9015969	0.2
VTO_0038125	16	VTO_9015969	0.2
VTO_0038125	17	VTO_9015969	0.2
VTO_0038125	18	VTO_9015969	0.2
VTO_0038125	19	VTO_9015969	0.2
VTO_0038125	20	VTO_9015969	0.2
VTO_0038125	21	VTO_9015969	0.2
VTO_0038125	22	VTO_9015969	0.2
VTO_0038125	23	VTO_9015969	0.2
VTO_0038125	24	VTO_9015969	0.2
VTO_0038125	25	VTO_9015969	0.2
VTO_0038125	26	VTO_9015969	0.2
VTO_0038125	27	VTO_9015969	0.2
VTO_0038125	28	VTO_9015969	0.2
VTO_0038125	29	VTO_9015969	0.2
VTO_0038125	30	VTO_9015969	0.195
VTO_0038125	31	VTO_9015969	0.18
VTO_0038125	32	VTO_9015969	0.155
VTO_0038125	33	VTO_9015969	0.14
VTO_0038125	34	VTO_0041917	0.14
VTO_0038125	35	VTO_0041917	0.14
VTO_0038125	36	VTO_9015969	0.14
VTO_0038125	37	VTO_9015969	0.14
VTO_0038125	38	VTO_0041917	0.14
VTO_0038125	39	VTO_0041917	0.14
VTO_0038125	40	VTO_0041917	0.14
VTO_0035069	0	VTO_0053588	0.12
VTO_0035069	1	VTO_9013729	0.12
VTO_0035069	2	VTO_0053588	0.12
VTO_0035069	3	VTO_9013729	0.12
VTO_0035069	4	VTO_0053588	0.12
VTO_0035069	5	VTO_9013729	0.12
VTO_0035069	6	VTO_9013729	0.12
VTO_0035069	7	VTO_9013729	0.12
VTO_0035069	8	VTO_9013729	0.12
VTO_0035069	9	VTO_0034915	0.13
VTO_0035069	10	VTO_0034915	0.14
VTO_0035069	11	VTO_0034915	0.14
VTO_0035069	12	VTO_0041917	0.125
VTO_0035069	13	VTO_0041917	0.13
VTO_0035069	14	VTO_0041917	0.125
VTO_0035069	15	VTO_0041917	0.13
VTO_0035069	16	VTO_0041917	0.135
VTO_0035069	17	VTO_0041917	0.14
VTO_0035069	18	VTO_0041917	0.135
VTO_0035069	19	VTO_0041917	0.14
VTO_0035069	20	VTO_0007064	0.13
VTO_0035069	21	VTO_0041917	0.135
VTO_0035069	22	VTO_0007064	0.125
VTO_0035069	23	VTO_9015969	0.13
VTO_0035069	24	VTO_0007064	0.125
VTO_0035069	25	VTO_0041917	0.14
VTO_0035069	26	VTO_0041917	0.14
VTO_0035069	27	VTO_0041917	0.14
VTO_0035069	28	VTO_9015969	0.14
VTO_0035069	29	VTO_0041917	0.14
VTO_0035069	30	VTO_0034915	0.14
VTO_0035069	31	VTO_0007064	0.13
VTO_0035069	32	VTO_0041917	0.14
VTO_0035069	33	VTO_9015969	0.14
VTO_0035069	34	VTO_0041917	0.14
VTO_0035069	35	VTO_0041917	0.14
VTO_0035069	36	VTO_9015969	0.14
VTO_0035069	37	VTO_9015969	0.14
VTO_0035069	38	VTO_0053586	0.14
VTO_0035069	39	VTO_0053586	0.14
VTO_0035069	40	VTO_0007064	0.145
VTO_9009112	0	VTO_0040904	0.17
VTO_9009112	1	VTO_0040904	0.17
VTO_9009112	2	VTO_0040904	0.17
VTO_9009112	3	VTO_0080344	0.17
VTO_9009112	4	VTO_0040904	0.175
VTO_9009112	5	VTO_0040904	0.175
VTO_9009112	6	VTO_0040904	0.16
VTO_9009112	7	VTO_0007235	0.14
VTO_9009112	8	VTO_0081338	0.14
VTO_9009112	9	VTO_0040904	0.15
VTO_9009112	10	VTO_0040904	0.16
VTO_9009112	11	VTO_0080344	0.15
VTO_9009112	12	VTO_0080344	0.16
VTO_9009112	13	VTO_0080344	0.16
VTO_9009112	14	VTO_0040904	0.17
VTO_9009112	15	VTO_0080344	0.17
VTO_9009112	16	VTO_0080344	0.18
VTO_9009112	17	VTO_0080344	0.175
VTO_9009112	18	VTO_0040904	0.18
VTO_9009112	19	VTO_0040904	0.18
VTO_9009112	20	VTO_0040904	0.18
VTO_9009112	21	VTO_0080344	0.18
VTO_9009112	22	VTO_0080344	0.18
VTO_9009112	23	VTO_0040904	0.175
VTO_9009112	24	VTO_0040904	0.175
VTO_9009112	25	VTO_0040904	0.175
VTO_9009112	26	VTO_0080344	0.175
VTO_9009112	27	VTO_0080344	0.175
VTO_9009112	28	VTO_0080344	0.17
VTO_9009112	29	VTO_0080344	0.175
VTO_9009112	30	VTO_0080344	0.175
VTO_9009112	31	VTO_0080344	0.175
VTO_9009112	32	VTO_0080344	0.175
VTO_9009112	33	VTO_0080344	0.17
VTO_9009112	34	VTO_0080344	0.18
VTO_9009112	35	VTO_0040904	0.155
VTO_9009112	36	VTO_0080344	0.15
VTO_9009112	37	VTO_0040904	0.15
VTO_9009112	38	VTO_9015969	0.14
VTO_9009112	39	VTO_9015969	0.14
VTO_9009112	40	VTO_9015969	0.14
VTO_9031854	0	VTO_0041917	0.12
VTO_9031854	1	VTO_0000124	0.12
VTO_9031854	2	VTO_0041917	0.12
VTO_9031854	3	VTO_0000124	0.12
VTO_9031854	4	VTO_0000124	0.12
VTO_9031854	5	VTO_0000124	0.12
VTO_9031854	6	VTO_0000124	0.12
VTO_9031854	7	VTO_0041917	0.12
VTO_9031854	8	VTO_0000124	0.12
VTO_9031854	9	VTO_0000124	0.12
VTO_9031854	10	VTO_0004637	0.12
VTO_9031854	11	VTO_0041917	0.12
VTO_9031854	12	VTO_9005294	0.125
VTO_9031854	13	VTO_0041917	0.12
VTO_9031854	14	VTO_9005294	0.125
VTO_9031854	15	VTO_0034915	0.135
VTO_9031854	16	VTO_0034915	0.135
VTO_9031854	17	VTO_0034915	0.135
VTO_9031854	18	VTO_0033592	0.14
VTO_9031854	19	VTO_0034915	0.135
VTO_9031854	20	VTO_0033592	0.14
VTO_9031854	21	VTO_0033592	0.14
VTO_9031854	22	VTO_0033592	0.14
VTO_9031854	23	VTO_9015969	0.14
VTO_9031854	24	VTO_9015969	0.14
VTO_9031854	25	VTO_9015969	0.14
VTO_9031854	26	VTO_9015969	0.14
VTO_9031854	27	VTO_9015969	0.14
VTO_9031854	28	VTO_9015969	0.14
VTO_9031854	29	VTO_9015969	0.14
VTO_9031854	30	VTO_9015969	0.14
VTO_9031854	31	VTO_9015969	0.14
VTO_9031854	32	VTO_9015969	0.14
VTO_9031854	33	VTO_9016465	0.15
VTO_9031854	34	VTO_9016465	0.15
VTO_9031854	35	VTO_9016465	0.15
VTO_9031854	36	VTO_9016465	0.15
VTO_9031854	37	VTO_9016465	0.15
VTO_9031854	38	VTO_0034915	0.145
VTO_9031854	39	VTO_9015969	0.16
VTO_9031854	40	VTO_9015969	0.16
