QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	0.9
VTO_0002654	1	VTO_0002654	0.9
VTO_0002654	2	VTO_0002654	0.885
VTO_0002654	3	VTO_0002654	0.875
VTO_0002654	4	VTO_0002654	0.835
VTO_0002654	5	VTO_0034991	0.655
VTO_0002654	6	VTO_0034991	0.685
VTO_0002654	7	VTO_0034991	0.685
VTO_0002654	8	VTO_0034991	0.685
VTO_0002654	9	VTO_0034991	0.685
VTO_0002654	10	VTO_0034991	0.68
VTO_0047199	0	VTO_0047199	0.885
VTO_0047199	1	VTO_0047199	0.875
VTO_0047199	2	VTO_0047199	0.845
VTO_0047199	3	VTO_0047199	0.83
VTO_0047199	4	VTO_0047199	0.82
VTO_0047199	5	VTO_0037519	0.665
VTO_0047199	6	VTO_0034991	0.675
VTO_0047199	7	VTO_0034991	0.675
VTO_0047199	8	VTO_0034991	0.675
VTO_0047199	9	VTO_0034991	0.675
VTO_0047199	10	VTO_0034991	0.675
VTO_9001676	0	VTO_9001676	0.94
VTO_9001676	1	VTO_9001676	0.905
VTO_9001676	2	VTO_9001676	0.905
VTO_9001676	3	VTO_9001676	0.905
VTO_9001676	4	VTO_9001676	0.89
VTO_9001676	5	VTO_0034991	0.64
VTO_9001676	6	VTO_0034991	0.64
VTO_9001676	7	VTO_0034991	0.64
VTO_9001676	8	VTO_0034991	0.665
VTO_9001676	9	VTO_0034991	0.675
VTO_9001676	10	VTO_0034991	0.675
VTO_9003361	0	VTO_9003361	0.9
VTO_9003361	1	VTO_9003361	0.9
VTO_9003361	2	VTO_9003361	0.885
VTO_9003361	3	VTO_9003361	0.885
VTO_9003361	4	VTO_9003361	0.855
VTO_9003361	5	VTO_0036816	0.655
VTO_9003361	6	VTO_0036816	0.655
VTO_9003361	7	VTO_0036816	0.655
VTO_9003361	8	VTO_0034991	0.655
VTO_9003361	9	VTO_0034991	0.655
VTO_9003361	10	VTO_0037519	0.695
VTO_0011622	0	VTO_0011622	0.885
VTO_0011622	1	VTO_0011622	0.885
VTO_0011622	2	VTO_0011622	0.86
VTO_0011622	3	VTO_0011622	0.845
VTO_0011622	4	VTO_0011622	0.835
VTO_0011622	5	VTO_0034991	0.6
VTO_0011622	6	VTO_0034991	0.6
VTO_0011622	7	VTO_0034991	0.6
VTO_0011622	8	VTO_0034991	0.6
VTO_0011622	9	VTO_0034991	0.625
VTO_0011622	10	VTO_0034991	0.625
