QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	0.9
VTO_0002654	1	VTO_0002654	0.885
VTO_0002654	2	VTO_0002654	0.86
VTO_0002654	3	VTO_0002654	0.85
VTO_0002654	4	VTO_0002654	0.835
VTO_0002654	5	VTO_0034991	0.61
VTO_0002654	6	VTO_0034991	0.61
VTO_0002654	7	VTO_0034991	0.61
VTO_0002654	8	VTO_0034991	0.615
VTO_0002654	9	VTO_0034991	0.625
VTO_0002654	10	VTO_0034991	0.625
VTO_0047199	0	VTO_0047199	0.875
VTO_0047199	1	VTO_0047199	0.875
VTO_0047199	2	VTO_0047199	0.845
VTO_0047199	3	VTO_0047199	0.83
VTO_0047199	4	VTO_0047199	0.82
VTO_0047199	5	VTO_0034991	0.635
VTO_0047199	6	VTO_0034991	0.635
VTO_0047199	7	VTO_0034991	0.635
VTO_0047199	8	VTO_0034991	0.635
VTO_0047199	9	VTO_0034991	0.62
VTO_0047199	10	VTO_0034991	0.55
VTO_9001676	0	VTO_9001676	0.87
VTO_9001676	1	VTO_9001676	0.87
VTO_9001676	2	VTO_9001676	0.87
VTO_9001676	3	VTO_9001676	0.855
VTO_9001676	4	VTO_9001676	0.755
VTO_9001676	5	VTO_0034991	0.565
VTO_9001676	6	VTO_0034991	0.575
VTO_9001676	7	VTO_0034991	0.575
VTO_9001676	8	VTO_0034991	0.58
VTO_9001676	9	VTO_0034991	0.595
VTO_9001676	10	VTO_0034991	0.595
VTO_9003361	0	VTO_9003361	0.885
VTO_9003361	1	VTO_9003361	0.855
VTO_9003361	2	VTO_9003361	0.84
VTO_9003361	3	VTO_9003361	0.84
VTO_9003361	4	VTO_9003361	0.765
VTO_9003361	5	VTO_0034955	0.61
VTO_9003361	6	VTO_0033666	0.615
VTO_9003361	7	VTO_0034991	0.57
VTO_9003361	8	VTO_0034991	0.57
VTO_9003361	9	VTO_0037519	0.57
VTO_9003361	10	VTO_0037519	0.57
VTO_0011622	0	VTO_0011622	0.87
VTO_0011622	1	VTO_0011622	0.845
VTO_0011622	2	VTO_0011622	0.81
VTO_0011622	3	VTO_0011622	0.81
VTO_0011622	4	VTO_0011622	0.795
VTO_0011622	5	VTO_0034991	0.62
VTO_0011622	6	VTO_0034991	0.62
VTO_0011622	7	VTO_0034991	0.59
VTO_0011622	8	VTO_0034991	0.585
VTO_0011622	9	VTO_0034991	0.585
VTO_0011622	10	VTO_0034991	0.585
