QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	0.83
VTO_0002654	1	VTO_0002654	0.81
VTO_0002654	2	VTO_0002654	0.79
VTO_0002654	3	VTO_0002654	0.77
VTO_0002654	4	VTO_0002654	0.725
VTO_0002654	5	VTO_0002654	0.39
VTO_0002654	6	VTO_0034991	0.375
VTO_0002654	7	VTO_0034991	0.375
VTO_0002654	8	VTO_0034991	0.385
VTO_0002654	9	VTO_0034991	0.395
VTO_0002654	10	VTO_0034991	0.395
VTO_0047199	0	VTO_0047199	0.79
VTO_0047199	1	VTO_0047199	0.79
VTO_0047199	2	VTO_0047199	0.75
VTO_0047199	3	VTO_0047199	0.725
VTO_0047199	4	VTO_0047199	0.7
VTO_0047199	5	VTO_0047199	0.44
VTO_0047199	6	VTO_0034991	0.4
VTO_0047199	7	VTO_0034991	0.4
VTO_0047199	8	VTO_0034991	0.4
VTO_0047199	9	VTO_0034991	0.38
VTO_0047199	10	VTO_0034991	0.27
VTO_9001676	0	VTO_9001676	0.79
VTO_9001676	1	VTO_9001676	0.79
VTO_9001676	2	VTO_9001676	0.79
VTO_9001676	3	VTO_9001676	0.755
VTO_9001676	4	VTO_9001676	0.585
VTO_9001676	5	VTO_0034991	0.32
VTO_9001676	6	VTO_0034991	0.33
VTO_9001676	7	VTO_0034991	0.325
VTO_9001676	8	VTO_0034991	0.335
VTO_9001676	9	VTO_0034991	0.35
VTO_9001676	10	VTO_0034991	0.35
VTO_9003361	0	VTO_9003361	0.81
VTO_9003361	1	VTO_9003361	0.755
VTO_9003361	2	VTO_9003361	0.72
VTO_9003361	3	VTO_9003361	0.72
VTO_9003361	4	VTO_9003361	0.6
VTO_9003361	5	VTO_0034955	0.38
VTO_9003361	6	VTO_0033666	0.385
VTO_9003361	7	VTO_0034991	0.32
VTO_9003361	8	VTO_0034991	0.32
VTO_9003361	9	VTO_0037519	0.32
VTO_9003361	10	VTO_0037519	0.32
VTO_0011622	0	VTO_0011622	0.79
VTO_0011622	1	VTO_0011622	0.745
VTO_0011622	2	VTO_0011622	0.675
VTO_0011622	3	VTO_0011622	0.675
VTO_0011622	4	VTO_0011622	0.64
VTO_0011622	5	VTO_0034991	0.39
VTO_0011622	6	VTO_0034991	0.39
VTO_0011622	7	VTO_0034991	0.345
VTO_0011622	8	VTO_0034991	0.33
VTO_0011622	9	VTO_0034991	0.33
VTO_0011622	10	VTO_0034991	0.33
