QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	0.908
VTO_0002654	1	VTO_0002654	0.908
VTO_0002654	2	VTO_0002654	0.908
VTO_0002654	3	VTO_0002654	0.908
VTO_0002654	4	VTO_0002654	0.908
VTO_0002654	5	VTO_0002654	0.908
VTO_0002654	6	VTO_0002654	0.86
VTO_0002654	7	VTO_0002654	0.826
VTO_0002654	8	VTO_0034991	0.539
VTO_0002654	9	VTO_0036816	0.539
VTO_0002654	10	VTO_0041727	0.592
VTO_0047199	0	VTO_0047199	0.952
VTO_0047199	1	VTO_0047199	0.952
VTO_0047199	2	VTO_0047199	0.952
VTO_0047199	3	VTO_0047199	0.952
VTO_0047199	4	VTO_0047199	0.952
VTO_0047199	5	VTO_0047199	0.94
VTO_0047199	6	VTO_0047199	0.94
VTO_0047199	7	VTO_0047199	0.94
VTO_0047199	8	VTO_0034991	0.614
VTO_0047199	9	VTO_0034991	0.614
VTO_0047199	10	VTO_0034991	0.614
VTO_9001676	0	VTO_9001676	0.94
VTO_9001676	1	VTO_9001676	0.94
VTO_9001676	2	VTO_9001676	0.94
VTO_9001676	3	VTO_9001676	0.94
VTO_9001676	4	VTO_9001676	0.94
VTO_9001676	5	VTO_9001676	0.94
VTO_9001676	6	VTO_9001676	0.86
VTO_9001676	7	VTO_9001676	0.704
VTO_9001676	8	VTO_0035660	0.51
VTO_9001676	9	VTO_0035660	0.51
VTO_9001676	10	VTO_0036816	0.518
VTO_9003361	0	VTO_9003361	0.94
VTO_9003361	1	VTO_9003361	0.908
VTO_9003361	2	VTO_9003361	0.908
VTO_9003361	3	VTO_9003361	0.908
VTO_9003361	4	VTO_9003361	0.876
VTO_9003361	5	VTO_9003361	0.846
VTO_9003361	6	VTO_9003361	0.84
VTO_9003361	7	VTO_9003361	0.72
VTO_9003361	8	VTO_9030591	0.547
VTO_9003361	9	VTO_9030591	0.547
VTO_9003361	10	VTO_0037519	0.556
VTO_0011622	0	VTO_0011622	0.94
VTO_0011622	1	VTO_0011622	0.94
VTO_0011622	2	VTO_0011622	0.908
VTO_0011622	3	VTO_0011622	0.908
VTO_0011622	4	VTO_0011622	0.908
VTO_0011622	5	VTO_0011622	0.908
VTO_0011622	6	VTO_0011622	0.876
VTO_0011622	7	VTO_0011622	0.798
VTO_0011622	8	VTO_0034915	0.55
VTO_0011622	9	VTO_9030591	0.527
VTO_0011622	10	VTO_0001466	0.548
