QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0052581	0	VTO_0052581	1.0
VTO_0052581	1	VTO_0052581	0.875271411339
VTO_0052581	2	VTO_0052581	0.781833679217
VTO_0052581	3	VTO_0052581	0.74457532548
VTO_0052581	4	VTO_0052581	0.687365933467
VTO_0052581	5	VTO_0052581	0.665594506686
VTO_0052581	6	VTO_0052581	0.649410013819
VTO_0052581	7	VTO_0052581	0.623874271587
VTO_0052581	8	VTO_0052581	0.618511349639
VTO_0052581	9	VTO_0052581	0.613325380675
VTO_0052581	10	VTO_0052581	0.571243652295
VTO_0052581	11	VTO_0052581	0.436331228664
VTO_0052581	12	VTO_0052581	0.396761372001
VTO_0052581	13	VTO_0052581	0.338209817132
VTO_0052581	14	VTO_0052581	0.321036889332
VTO_0052581	15	VTO_0052581	0.279641999791
VTO_0052581	16	VTO_0052581	0.219112284672
VTO_0052581	17	VTO_0035036	0.206066808365
VTO_0052581	18	VTO_0035036	0.184153220517
VTO_0052581	19	VTO_0035036	0.173017232152
VTO_0052581	20	VTO_0002644	0.170234318769
VTO_0037490	0	VTO_0037490	1.0
VTO_0037490	1	VTO_0037490	0.943887410216
VTO_0037490	2	VTO_0037490	0.882931892201
VTO_0037490	3	VTO_0037490	0.850822226069
VTO_0037490	4	VTO_0037490	0.802153702094
VTO_0037490	5	VTO_0037490	0.70534570086
VTO_0037490	6	VTO_0037490	0.67959838403
VTO_0037490	7	VTO_0037490	0.502822161692
VTO_0037490	8	VTO_0037490	0.458176928679
VTO_0037490	9	VTO_0037490	0.402355328865
VTO_0037490	10	VTO_0037490	0.375551818373
VTO_0037490	11	VTO_0037490	0.312155557866
VTO_0037490	12	VTO_0037490	0.294275149815
VTO_0037490	13	VTO_0037490	0.284181636727
VTO_0037490	14	VTO_0037490	0.261203677104
VTO_0037490	15	VTO_0037490	0.256759967685
VTO_0037490	16	VTO_0002204	0.229651340294
VTO_0037490	17	VTO_0037990	0.221934065934
VTO_0037490	18	VTO_9022477	0.214461512348
VTO_0037490	19	VTO_0002418	0.214032869785
VTO_0037490	20	VTO_0037990	0.212487453998
VTO_0080000	0	VTO_0080000	1.0
VTO_0080000	1	VTO_0080000	0.907651473549
VTO_0080000	2	VTO_0080000	0.839701987719
VTO_0080000	3	VTO_0080000	0.72020842773
VTO_0080000	4	VTO_0080000	0.66565284031
VTO_0080000	5	VTO_0080000	0.648341934251
VTO_0080000	6	VTO_0080000	0.532713932184
VTO_0080000	7	VTO_0080000	0.503044750244
VTO_0080000	8	VTO_0080000	0.449796400616
VTO_0080000	9	VTO_0080000	0.414183740077
VTO_0080000	10	VTO_0080000	0.373533206365
VTO_0080000	11	VTO_0080000	0.326504101251
VTO_0080000	12	VTO_0080000	0.281590950556
VTO_0080000	13	VTO_0080000	0.264158848711
VTO_0080000	14	VTO_9028537	0.219261570128
VTO_0080000	15	VTO_9028537	0.219525683985
VTO_0080000	16	VTO_9020173	0.215715783422
VTO_0080000	17	VTO_9028537	0.221141942193
VTO_0080000	18	VTO_9028537	0.208839886187
VTO_0080000	19	VTO_9028537	0.203408430702
VTO_0080000	20	VTO_0037714	0.202745767534
VTO_0003943	0	VTO_0003943	1.0
VTO_0003943	1	VTO_0003943	0.938172409097
VTO_0003943	2	VTO_0003943	0.893904514063
VTO_0003943	3	VTO_0003943	0.827945222611
VTO_0003943	4	VTO_0003943	0.739949942836
VTO_0003943	5	VTO_0003943	0.642724339695
VTO_0003943	6	VTO_0003943	0.538128648981
VTO_0003943	7	VTO_0003943	0.509722696038
VTO_0003943	8	VTO_0003943	0.462547174318
VTO_0003943	9	VTO_0003943	0.424480550997
VTO_0003943	10	VTO_0003943	0.367141909056
VTO_0003943	11	VTO_0003943	0.354262504769
VTO_0003943	12	VTO_0003943	0.304427369191
VTO_0003943	13	VTO_0003943	0.257051295656
VTO_0003943	14	VTO_0010456	0.262002882209
VTO_0003943	15	VTO_0010456	0.262089023773
VTO_0003943	16	VTO_0010456	0.257270525974
VTO_0003943	17	VTO_0010456	0.254551261578
VTO_0003943	18	VTO_0010456	0.254015990611
VTO_0003943	19	VTO_0010456	0.252638490346
VTO_0003943	20	VTO_0010456	0.258588412633
VTO_9007203	0	VTO_9007203	1.0
VTO_9007203	1	VTO_9007203	0.923501531703
VTO_9007203	2	VTO_9007203	0.875808574389
VTO_9007203	3	VTO_9007203	0.829176521178
VTO_9007203	4	VTO_9007203	0.564317306905
VTO_9007203	5	VTO_9007203	0.546680793838
VTO_9007203	6	VTO_9007203	0.531849983729
VTO_9007203	7	VTO_9007203	0.504983589393
VTO_9007203	8	VTO_9007203	0.45416
VTO_9007203	9	VTO_9007203	0.414632254562
VTO_9007203	10	VTO_9007203	0.387471534988
VTO_9007203	11	VTO_9007203	0.335698750323
VTO_9007203	12	VTO_0081338	0.360202623717
VTO_9007203	13	VTO_0081338	0.361170741924
VTO_9007203	14	VTO_0081338	0.352001632945
VTO_9007203	15	VTO_0081338	0.354406966887
VTO_9007203	16	VTO_0081338	0.337907117008
VTO_9007203	17	VTO_0081338	0.32571885371
VTO_9007203	18	VTO_0081338	0.332904184204
VTO_9007203	19	VTO_0081338	0.341494387159
VTO_9007203	20	VTO_0081338	0.343843498274
