QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0034827	0	VTO_0034827	1.0
VTO_0034827	1	VTO_0034827	0.993363131286
VTO_0034827	2	VTO_0034827	0.943578937051
VTO_0034827	3	VTO_0034827	0.931461416898
VTO_0034827	4	VTO_0034827	0.922164821172
VTO_0034827	5	VTO_0034827	0.885665682789
VTO_0034827	6	VTO_0034827	0.845625748235
VTO_0034827	7	VTO_0034827	0.811598652762
VTO_0034827	8	VTO_0034827	0.79496777262
VTO_0034827	9	VTO_0034827	0.778718052211
VTO_0034827	10	VTO_0034827	0.716098359759
VTO_0034827	11	VTO_0034827	0.66634064393
VTO_0034827	12	VTO_0034827	0.649187603869
VTO_0034827	13	VTO_0034827	0.619065084583
VTO_0034827	14	VTO_0034827	0.566983882854
VTO_0034827	15	VTO_0034827	0.551845744681
VTO_0034827	16	VTO_0034827	0.543159724757
VTO_0034827	17	VTO_0034827	0.538192007535
VTO_0034827	18	VTO_0034827	0.535157780011
VTO_0034827	19	VTO_0034827	0.502982006611
VTO_0034827	20	VTO_0034827	0.491338913654
VTO_0034827	21	VTO_0034827	0.478980337281
VTO_0034827	22	VTO_0034827	0.47687269239
VTO_0034827	23	VTO_0034827	0.428930166413
VTO_0034827	24	VTO_0034827	0.413922434594
VTO_0034827	25	VTO_0034827	0.403952680785
VTO_0034827	26	VTO_0034827	0.362125908236
VTO_0034827	27	VTO_0034827	0.341415765448
VTO_0034827	28	VTO_0034827	0.328863496167
VTO_0034827	29	VTO_0034827	0.32358280299
VTO_0034827	30	VTO_0034827	0.320790400417
VTO_0034827	31	VTO_0034827	0.29936635043
VTO_0034827	32	VTO_0034827	0.284307731555
VTO_0034827	33	VTO_0034827	0.265884214547
VTO_0034827	34	VTO_0034827	0.260903905508
VTO_0034827	35	VTO_0034827	0.257719096832
VTO_0034827	36	VTO_0034827	0.250760025456
VTO_0034827	37	VTO_0034827	0.243257826104
VTO_0034827	38	VTO_0034827	0.233824192289
VTO_0034827	39	VTO_9020397	0.198421057106
VTO_0034827	40	VTO_9020397	0.198529397864
VTO_0038125	0	VTO_0038125	1.0
VTO_0038125	1	VTO_0038125	0.919220816681
VTO_0038125	2	VTO_0038125	0.898370358079
VTO_0038125	3	VTO_0038125	0.885631330201
VTO_0038125	4	VTO_0038125	0.850844694215
VTO_0038125	5	VTO_0038125	0.817963701407
VTO_0038125	6	VTO_0038125	0.794448291904
VTO_0038125	7	VTO_0038125	0.787445575873
VTO_0038125	8	VTO_0038125	0.707155320117
VTO_0038125	9	VTO_0038125	0.690707223817
VTO_0038125	10	VTO_0038125	0.674760878264
VTO_0038125	11	VTO_0038125	0.661120325153
VTO_0038125	12	VTO_0038125	0.642362496509
VTO_0038125	13	VTO_0038125	0.62382187346
VTO_0038125	14	VTO_0038125	0.582136871644
VTO_0038125	15	VTO_0038125	0.534450211828
VTO_0038125	16	VTO_0038125	0.53740118125
VTO_0038125	17	VTO_0038125	0.533294523662
VTO_0038125	18	VTO_0038125	0.518180518595
VTO_0038125	19	VTO_0038125	0.508524158643
VTO_0038125	20	VTO_0038125	0.497655136477
VTO_0038125	21	VTO_0038125	0.470234594167
VTO_0038125	22	VTO_0038125	0.468118150128
VTO_0038125	23	VTO_0038125	0.431162999746
VTO_0038125	24	VTO_0038125	0.419598358408
VTO_0038125	25	VTO_0038125	0.414648095389
VTO_0038125	26	VTO_0038125	0.4118881207
VTO_0038125	27	VTO_0038125	0.392210617203
VTO_0038125	28	VTO_0038125	0.380635299559
VTO_0038125	29	VTO_0038125	0.313734162989
VTO_0038125	30	VTO_0038125	0.299751247501
VTO_0038125	31	VTO_0038125	0.271036768424
VTO_0038125	32	VTO_0038125	0.254549918215
VTO_0038125	33	VTO_0038125	0.24746431523
VTO_0038125	34	VTO_9020355	0.218854941655
VTO_0038125	35	VTO_9020355	0.220385120341
VTO_0038125	36	VTO_9020355	0.216706447004
VTO_0038125	37	VTO_9020355	0.228479121269
VTO_0038125	38	VTO_9020355	0.227486415341
VTO_0038125	39	VTO_9020355	0.229900804735
VTO_0038125	40	VTO_9020355	0.230214936163
VTO_0035069	0	VTO_0035069	1.0
VTO_0035069	1	VTO_0035069	0.927162269081
VTO_0035069	2	VTO_0035069	0.864464735917
VTO_0035069	3	VTO_0035069	0.824976585971
VTO_0035069	4	VTO_0035069	0.787940882508
VTO_0035069	5	VTO_0035069	0.755021022324
VTO_0035069	6	VTO_0035069	0.727089172049
VTO_0035069	7	VTO_0035069	0.701000554468
VTO_0035069	8	VTO_0035069	0.672412908522
VTO_0035069	9	VTO_0035069	0.663270672849
VTO_0035069	10	VTO_0035069	0.576551189199
VTO_0035069	11	VTO_0035069	0.570972503761
VTO_0035069	12	VTO_0035069	0.479963940551
VTO_0035069	13	VTO_0035069	0.425702559975
VTO_0035069	14	VTO_0035069	0.401364241742
VTO_0035069	15	VTO_0035069	0.38513101071
VTO_0035069	16	VTO_0035069	0.371394250254
VTO_0035069	17	VTO_0035069	0.331404541008
VTO_0035069	18	VTO_0035069	0.331284630921
VTO_0035069	19	VTO_0035069	0.323540951151
VTO_0035069	20	VTO_0035069	0.31490965398
