QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	1.0
VTO_0002654	1	VTO_0002654	0.814040492958
VTO_0002654	2	VTO_0002654	0.743754003844
VTO_0002654	3	VTO_0002654	0.669857433809
VTO_0002654	4	VTO_0002654	0.282060027285
VTO_0002654	5	VTO_0002654	0.234871280508
VTO_0002654	6	VTO_0002654	0.171233987352
VTO_0002654	7	VTO_0083112	0.158961038961
VTO_0002654	8	VTO_0002634	0.131782945736
VTO_0002654	9	VTO_0055800	0.126391450926
VTO_0002654	10	VTO_9001676	0.137078308655
VTO_0047199	0	VTO_0047199	1.0
VTO_0047199	1	VTO_0047199	0.811589805825
VTO_0047199	2	VTO_0047199	0.706585081585
VTO_0047199	3	VTO_0047199	0.538558467742
VTO_0047199	4	VTO_0047199	0.499152747519
VTO_0047199	5	VTO_0047199	0.392075078206
VTO_0047199	6	VTO_0047199	0.36630853436
VTO_0047199	7	VTO_0047199	0.346608832808
VTO_0047199	8	VTO_0047199	0.194906069364
VTO_0047199	9	VTO_0012330	0.139650872818
VTO_0047199	10	VTO_0056592	0.135603844547
VTO_9001676	0	VTO_9001676	1.0
VTO_9001676	1	VTO_9001676	0.886631330978
VTO_9001676	2	VTO_9001676	0.668715083799
VTO_9001676	3	VTO_9001676	0.604518306933
VTO_9001676	4	VTO_9001676	0.571573604061
VTO_9001676	5	VTO_9001676	0.382301764852
VTO_9001676	6	VTO_9001676	0.315291893169
VTO_9001676	7	VTO_9001676	0.287812715171
VTO_9001676	8	VTO_9001676	0.205831903945
VTO_9001676	9	VTO_9001676	0.164296021439
VTO_9001676	10	VTO_9010598	0.134043927649
VTO_9003361	0	VTO_9003361	1.0
VTO_9003361	1	VTO_9003361	0.894579996275
VTO_9003361	2	VTO_9003361	0.833911297682
VTO_9003361	3	VTO_9003361	0.686682201111
VTO_9003361	4	VTO_9003361	0.608785529716
VTO_9003361	5	VTO_9003361	0.485718720894
VTO_9003361	6	VTO_9003361	0.458974358974
VTO_9003361	7	VTO_9003361	0.191194029851
VTO_9003361	8	VTO_9003361	0.158788774003
VTO_9003361	9	VTO_9010558	0.139886867451
VTO_9003361	10	VTO_0056592	0.135875770724
VTO_0011622	0	VTO_0011622	1.0
VTO_0011622	1	VTO_0011622	0.777255639098
VTO_0011622	2	VTO_0011622	0.714898835071
VTO_0011622	3	VTO_0011622	0.565169769989
VTO_0011622	4	VTO_0011622	0.50980911983
VTO_0011622	5	VTO_0011622	0.366919191919
VTO_0011622	6	VTO_0011622	0.33862959285
VTO_0011622	7	VTO_0011622	0.244136698682
VTO_0011622	8	VTO_0034915	0.13444749314
VTO_0011622	9	VTO_0034915	0.145895895896
VTO_0011622	10	VTO_0034915	0.135357224378
